Job Title,City,State,Latitude,Longitude,Average Salary,Job Openings,Salary URL,Job Openings URL
Software Engineer,Des Moines,IA,41.5910641,-93.6037149,"$106,789",401,https://www.indeed.com/career/Software-Engineer/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Software-Engineer&l=Des-Moines--IA
Dentist,Des Moines,IA,41.5910641,-93.6037149,"$184,299",10,https://www.indeed.com/career/Dentist/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Dentist&l=Des-Moines--IA
Physician Assistant,Des Moines,IA,41.5910641,-93.6037149,"$97,519",84,https://www.indeed.com/career/Physician-Assistant/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Physician-Assistant&l=Des-Moines--IA
Orthodontist,Des Moines,IA,41.5910641,-93.6037149,0,1,https://www.indeed.com/career/Orthodontist/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Orthodontist&l=Des-Moines--IA
Nurse Practitioner,Des Moines,IA,41.5910641,-93.6037149,"$117,647",32,https://www.indeed.com/career/Nurse-Practitioner/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Nurse-Practitioner&l=Des-Moines--IA
Statistician,Des Moines,IA,41.5910641,-93.6037149,0,2,https://www.indeed.com/career/Statistician/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Statistician&l=Des-Moines--IA
Physician,Des Moines,IA,41.5910641,-93.6037149,"$207,358",42,https://www.indeed.com/career/Physician/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Physician&l=Des-Moines--IA
Speech Language Pathologist,Des Moines,IA,41.5910641,-93.6037149,$38.55,20,https://www.indeed.com/career/Speech-Language-Pathologist/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Speech-Language-Pathologist&l=Des-Moines--IA
Oral and Maxillofacial Surgeon,Des Moines,IA,41.5910641,-93.6037149,0,0,https://www.indeed.com/career/Oral-and-Maxillofacial-Surgeon/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Oral-and-Maxillofacial-Surgeon&l=Des-Moines--IA
Veterinarian,Des Moines,IA,41.5910641,-93.6037149,"$104,193",7,https://www.indeed.com/career/Veterinarian/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Veterinarian&l=Des-Moines--IA
Medical and Health Services Manager,Des Moines,IA,41.5910641,-93.6037149,0,0,https://www.indeed.com/career/Medical-and-Health-Services-Manager/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Medical-and-Health-Services-Manager&l=Des-Moines--IA
IT Manager,Des Moines,IA,41.5910641,-93.6037149,"$66,511",74,https://www.indeed.com/career/IT-Manager/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=IT-Manager&l=Des-Moines--IA
Registered Nurse,Des Moines,IA,41.5910641,-93.6037149,$36.17,481,https://www.indeed.com/career/Registered-Nurse/salaries/Des-Moines--IA,https://www.indeed.com/jobs?q=Registered-Nurse&l=Des-Moines--IA
