Job Title,City,State,Latitude,Longitude,Average Salary,Job Openings
Software Engineer,Des Moines,IA,41.5910641,-93.6037149,106789,401
Dentist,Des Moines,IA,41.5910641,-93.6037149,184299,10
Physician Assistant,Des Moines,IA,41.5910641,-93.6037149,97519,84
Orthodontist,Des Moines,IA,41.5910641,-93.6037149,0,1
Nurse Practitioner,Des Moines,IA,41.5910641,-93.6037149,117647,32
Statistician,Des Moines,IA,41.5910641,-93.6037149,0,2
Physician,Des Moines,IA,41.5910641,-93.6037149,207358,42
Speech Language Pathologist,Des Moines,IA,41.5910641,-93.6037149,"80,184",20
Oral and Maxillofacial Surgeon,Des Moines,IA,41.5910641,-93.6037149,0,0
Veterinarian,Des Moines,IA,41.5910641,-93.6037149,104193,7
Medical and Health Services Manager,Des Moines,IA,41.5910641,-93.6037149,0,0
IT Manager,Des Moines,IA,41.5910641,-93.6037149,66511,74
Registered Nurse,Des Moines,IA,41.5910641,-93.6037149,"75,234",481
Mathematician,Des Moines,IA,41.5910641,-93.6037149,0,1
Physical Therapist,Des Moines,IA,41.5910641,-93.6037149,86819,49
Optometrist,Des Moines,IA,41.5910641,-93.6037149,112212,2
Anesthesiologist,Des Moines,IA,41.5910641,-93.6037149,195893,2
Obstetrician and Gynecologist,Des Moines,IA,41.5910641,-93.6037149,0,0
Surgeon,Des Moines,IA,41.5910641,-93.6037149,0,31
Operations Research Analyst,Des Moines,IA,41.5910641,-93.6037149,0,21
Nurse Anesthetist,Des Moines,IA,41.5910641,-93.6037149,0,2
Pediatrician,Des Moines,IA,41.5910641,-93.6037149,64528,8
Web Developer,Des Moines,IA,41.5910641,-93.6037149,74254,83
Dental Hygienist,Des Moines,IA,41.5910641,-93.6037149,37.46,8
Genetic Counselor,Des Moines,IA,41.5910641,-93.6037149,0,1
Physical Therapist Assistant,Des Moines,IA,41.5910641,-93.6037149,30.26,11
Financial Manager,Des Moines,IA,41.5910641,-93.6037149,0,14
Occupational Therapist,Des Moines,IA,41.5910641,-93.6037149,75421,20
Psychologist,Des Moines,IA,41.5910641,-93.6037149,94016,6
Database Administrator,Des Moines,IA,41.5910641,-93.6037149,93605,16
Financial Advisor,Des Moines,IA,41.5910641,-93.6037149,96087,105
Mechanical Engineer,Des Moines,IA,41.5910641,-93.6037149,71109,83
Civil Engineer,Des Moines,IA,41.5910641,-93.6037149,78023,67
Psychiatrist,Des Moines,IA,41.5910641,-93.6037149,245279,6
Substance Abuse and Behavioral Disorder Counselor,Des Moines,IA,41.5910641,-93.6037149,0,0
School Psychologist,Des Moines,IA,41.5910641,-93.6037149,78894,2
Home Health Aide,Des Moines,IA,41.5910641,-93.6037149,13.07,44
Information Security Analyst,Des Moines,IA,41.5910641,-93.6037149,99390,49
Pilot,Des Moines,IA,41.5910641,-93.6037149,66382,26
Respiratory Therapist,Des Moines,IA,41.5910641,-93.6037149,22.78,20
Diagnostic Medical Sonographer,Des Moines,IA,41.5910641,-93.6037149,0,3
Accountant,Des Moines,IA,41.5910641,-93.6037149,52297,111
Market Research Analyst,Des Moines,IA,41.5910641,-93.6037149,0,19
Business Operations Manager,Des Moines,IA,41.5910641,-93.6037149,0,45
Marketing Manager,Des Moines,IA,41.5910641,-93.6037149,60048,41
Industrial Psychologist,Des Moines,IA,41.5910641,-93.6037149,0,1
Podiatrist,Des Moines,IA,41.5910641,-93.6037149,0,2
Environmental Engineer,Des Moines,IA,41.5910641,-93.6037149,0,39
Social and Community Service Manager,Des Moines,IA,41.5910641,-93.6037149,0,3
Lawyer,Des Moines,IA,41.5910641,-93.6037149,76223,21
Marriage and Family Therapist,Des Moines,IA,41.5910641,-93.6037149,0,1
Medical Assistant,Des Moines,IA,41.5910641,-93.6037149,17.43,62
Data Analyst,Des Moines,IA,41.5910641,-93.6037149,69011,163
Actuary,Des Moines,IA,41.5910641,-93.6037149,136955,28
Medical Records Technician,Des Moines,IA,41.5910641,-93.6037149,0,143
Prosthodontist,Des Moines,IA,41.5910641,-93.6037149,0,0
Construction Manager,Des Moines,IA,41.5910641,-93.6037149,72743,209
Veterinary Technologist and Technician,Des Moines,IA,41.5910641,-93.6037149,0,0
Landscaper and Groundskeeper,Des Moines,IA,41.5910641,-93.6037149,0,0
Computer Network Architect,Des Moines,IA,41.5910641,-93.6037149,0,9
Orthotist and Prosthetist,Des Moines,IA,41.5910641,-93.6037149,0,0
Personal Care Aide,Des Moines,IA,41.5910641,-93.6037149,0,38
Computer Systems Administrator,Des Moines,IA,41.5910641,-93.6037149,0,45
Massage Therapist,Des Moines,IA,41.5910641,-93.6037149,24.74,13
Cartographer,Des Moines,IA,41.5910641,-93.6037149,0,0
Dental Assistant,Des Moines,IA,41.5910641,-93.6037149,19.08,15
Management Analyst,Des Moines,IA,41.5910641,-93.6037149,0,2
Solar Photovoltaic Installer,Des Moines,IA,41.5910641,-93.6037149,0,0
Physical Therapist Aide,Des Moines,IA,41.5910641,-93.6037149,0,15
Occupational Therapy Assistant,Des Moines,IA,41.5910641,-93.6037149,0,15
Mental Health Counselor,Des Moines,IA,41.5910641,-93.6037149,0,15
Environmental Engineering Technician,Des Moines,IA,41.5910641,-93.6037149,0,20
Nail Technician,Des Moines,IA,41.5910641,-93.6037149,19.8,4
Plumber,Des Moines,IA,41.5910641,-93.6037149,19.03,10
Radiologic Technologist,Des Moines,IA,41.5910641,-93.6037149,0,26
MRI Technologist,Des Moines,IA,41.5910641,-93.6037149,38.18,2
Chiropractor,Des Moines,IA,41.5910641,-93.6037149,51155,0
Cost Estimator,Des Moines,IA,41.5910641,-93.6037149,0,11
Financial Analyst,Des Moines,IA,41.5910641,-93.6037149,57580,95
Insurance Sales Agent,Des Moines,IA,41.5910641,-93.6037149,0,6
