date,time,region_id,city,statecode,unemployment,dow,nasdaq,sp500,housing,threem,threeh,sixm,sixh,ninem,nineh,twelvem,twelveh,anchordate
1/1/2003,0,23429,Albuquerque,NM,5.2,8604,1384.849976,907,148049,4/1/2003,148776,7/1/2003,149781,10/1/2003,150774,1/1/2004,153324,1/1/2003
2/1/2003,1,23429,Albuquerque,NM,5.2,8077,1323.790039,859,148287,5/1/2003,149028,8/1/2003,150115,11/1/2003,151472,2/1/2004,154211,
3/1/2003,2,23429,Albuquerque,NM,5.3,7843,1320.290039,835,148583,6/1/2003,149382,9/1/2003,150350,12/1/2003,152483,3/1/2004,154769,
4/1/2003,3,23429,Albuquerque,NM,5.3,8480.09,1348.3,916.92,148776,7/1/2003,149781,10/1/2003,150774,1/1/2004,153324,4/1/2004,155385,
5/1/2003,4,23429,Albuquerque,NM,5.4,8850.26,1472.56,963.59,149028,8/1/2003,150115,11/1/2003,151472,2/1/2004,154211,5/1/2004,155990,
6/1/2003,5,23429,Albuquerque,NM,5.4,8903,1590.75,968,149382,9/1/2003,150350,12/1/2003,152483,3/1/2004,154769,6/1/2004,156766,
7/1/2003,6,23429,Albuquerque,NM,5.5,9233.8,1640.13,990.31,149781,10/1/2003,150774,1/1/2004,153324,4/1/2004,155385,7/1/2004,157478,
8/1/2003,7,23429,Albuquerque,NM,5.5,9415.82,1715.62,1008.01,150115,11/1/2003,151472,2/1/2004,154211,5/1/2004,155990,8/1/2004,158063,
9/1/2003,8,23429,Albuquerque,NM,5.5,9608.47,1841.47998,1022,150350,12/1/2003,152483,3/1/2004,154769,6/1/2004,156766,9/1/2004,158394,
10/1/2003,9,23429,Albuquerque,NM,5.5,9801.12,1832.25,1050.71,150774,1/1/2004,153324,4/1/2004,155385,7/1/2004,157478,10/1/2004,158859,
11/1/2003,10,23429,Albuquerque,NM,5.5,10127.51,1967.699951,1054,151472,2/1/2004,154211,5/1/2004,155990,8/1/2004,158063,11/1/2004,159298,
12/1/2003,11,23429,Albuquerque,NM,5.4,10453.9,1989.82,1111.92,152483,3/1/2004,154769,6/1/2004,156766,9/1/2004,158394,12/1/2004,159826,
1/1/2004,12,23429,Albuquerque,NM,5.4,10398,2006.680054,1109,153324,4/1/2004,155385,7/1/2004,157478,10/1/2004,158859,1/1/2005,160510,
2/1/2004,13,23429,Albuquerque,NM,5.3,10377.85,2063.149902,1135,154211,5/1/2004,155990,8/1/2004,158063,11/1/2004,159298,2/1/2005,161210,
3/1/2004,14,23429,Albuquerque,NM,5.2,10357.7,2057.8,1126.21,154769,6/1/2004,156766,9/1/2004,158394,12/1/2004,159826,3/1/2005,162259,
4/1/2004,15,23429,Albuquerque,NM,5.2,10225.6,2015.01,1107.3,155385,7/1/2004,157478,10/1/2004,158859,1/1/2005,160510,4/1/2005,163011,
5/1/2004,16,23429,Albuquerque,NM,5.1,10330.55,1938.719971,1116,155990,8/1/2004,158063,11/1/2004,159298,2/1/2005,161210,5/1/2005,163880,
6/1/2004,17,23429,Albuquerque,NM,5,10435.5,1990.77,1140.84,156766,9/1/2004,158394,12/1/2004,159826,3/1/2005,162259,6/1/2005,164711,
7/1/2004,18,23429,Albuquerque,NM,5,10139.7,2015.55,1101.72,157478,10/1/2004,158859,1/1/2005,160510,4/1/2005,163011,7/1/2005,166128,
8/1/2004,19,23429,Albuquerque,NM,5,10080.3,1850.41,1114.58,158063,11/1/2004,159298,2/1/2005,161210,5/1/2005,163880,8/1/2005,167845,
9/1/2004,20,23429,Albuquerque,NM,5,10027.5,1942.2,1130.2,158394,12/1/2004,159826,3/1/2005,162259,6/1/2005,164711,9/1/2005,170095,
10/1/2004,21,23429,Albuquerque,NM,5,10428,1979.87,1173.82,158859,1/1/2005,160510,4/1/2005,163011,7/1/2005,166128,10/1/2005,172216,
11/1/2004,22,23429,Albuquerque,NM,5.1,10783,2138.23,1211.92,159298,2/1/2005,161210,5/1/2005,163880,8/1/2005,167845,11/1/2005,174424,
12/1/2004,23,23429,Albuquerque,NM,5.1,10768,2138.22998,1191,159826,3/1/2005,162259,6/1/2005,164711,9/1/2005,170095,12/1/2005,176758,
