date,time,region_id,city,statecode,unemployment,dunemployment,dow,ddow,nasdaq,dnasdaq,sp500,dsp500,housing,threem,threed,threeh,sixm,sixd,sixh,ninem,nined,nineh,twelvem,twelved,twelveh
1/1/2003,0,23429,Albuquerque,NM,5.2,,8604,,1384.849976,,907,,148049,4/1/2003,727,148776,7/1/2003,1005,149781,10/1/2003,993,150774,1/1/2004,2550,153324
2/1/2003,1,23429,Albuquerque,NM,5.2,0,8077,-527,1323.790039,-61.1,859,-48,148287,5/1/2003,741,149028,8/1/2003,1087,150115,11/1/2003,1357,151472,2/1/2004,2739,154211
3/1/2003,2,23429,Albuquerque,NM,5.3,0.1,7843,-234,1320.290039,-3.5,835,-24,148583,6/1/2003,799,149382,9/1/2003,968,150350,12/1/2003,2133,152483,3/1/2004,2286,154769
4/1/2003,3,23429,Albuquerque,NM,5.3,0,8480.09,637.1,1348.3,28,916.92,81.9,148776,7/1/2003,1005,149781,10/1/2003,993,150774,1/1/2004,2550,153324,4/1/2004,2061,155385
5/1/2003,4,23429,Albuquerque,NM,5.4,0.1,8850.26,370.2,1472.56,124.3,963.59,46.7,149028,8/1/2003,1087,150115,11/1/2003,1357,151472,2/1/2004,2739,154211,5/1/2004,1779,155990
6/1/2003,5,23429,Albuquerque,NM,5.4,0,8903,52.7,1590.75,118.2,968,4.4,149382,9/1/2003,968,150350,12/1/2003,2133,152483,3/1/2004,2286,154769,6/1/2004,1997,156766
7/1/2003,6,23429,Albuquerque,NM,5.5,0.1,9233.8,330.8,1640.13,49.4,990.31,22.3,149781,10/1/2003,993,150774,1/1/2004,2550,153324,4/1/2004,2061,155385,7/1/2004,2093,157478
8/1/2003,7,23429,Albuquerque,NM,5.5,0,9415.82,182,1715.62,75.5,1008.01,17.7,150115,11/1/2003,1357,151472,2/1/2004,2739,154211,5/1/2004,1779,155990,8/1/2004,2073,158063
9/1/2003,8,23429,Albuquerque,NM,5.5,0,9608.47,192.7,1841.47998,125.9,1022,14,150350,12/1/2003,2133,152483,3/1/2004,2286,154769,6/1/2004,1997,156766,9/1/2004,1628,158394
10/1/2003,9,23429,Albuquerque,NM,5.5,0,9801.12,192.7,1832.25,-9.2,1050.71,28.7,150774,1/1/2004,2550,153324,4/1/2004,2061,155385,7/1/2004,2093,157478,10/1/2004,1381,158859
11/1/2003,10,23429,Albuquerque,NM,5.5,0,10127.51,326.4,1967.699951,135.4,1054,3.3,151472,2/1/2004,2739,154211,5/1/2004,1779,155990,8/1/2004,2073,158063,11/1/2004,1235,159298
12/1/2003,11,23429,Albuquerque,NM,5.4,-0.1,10453.9,326.4,1989.82,22.1,1111.92,57.9,152483,3/1/2004,2286,154769,6/1/2004,1997,156766,9/1/2004,1628,158394,12/1/2004,1432,159826
1/1/2004,12,23429,Albuquerque,NM,5.4,0,10398,-55.9,2006.680054,16.9,1109,-2.9,153324,4/1/2004,2061,155385,7/1/2004,2093,157478,10/1/2004,1381,158859,1/1/2005,1651,160510
2/1/2004,13,23429,Albuquerque,NM,5.3,-0.1,10377.85,-20.1,2063.149902,56.5,1135,26,154211,5/1/2004,1779,155990,8/1/2004,2073,158063,11/1/2004,1235,159298,2/1/2005,1912,161210
3/1/2004,14,23429,Albuquerque,NM,5.2,-0.1,10357.7,-20.1,2057.8,-5.3,1126.21,-8.8,154769,6/1/2004,1997,156766,9/1/2004,1628,158394,12/1/2004,1432,159826,3/1/2005,2433,162259
4/1/2004,15,23429,Albuquerque,NM,5.2,0,10225.6,-132.1,2015.01,-42.8,1107.3,-18.9,155385,7/1/2004,2093,157478,10/1/2004,1381,158859,1/1/2005,1651,160510,4/1/2005,2501,163011
5/1/2004,16,23429,Albuquerque,NM,5.1,-0.1,10330.55,104.9,1938.719971,-76.3,1116,8.7,155990,8/1/2004,2073,158063,11/1/2004,1235,159298,2/1/2005,1912,161210,5/1/2005,2670,163880
6/1/2004,17,23429,Albuquerque,NM,5,-0.1,10435.5,105,1990.77,52.1,1140.84,24.8,156766,9/1/2004,1628,158394,12/1/2004,1432,159826,3/1/2005,2433,162259,6/1/2005,2452,164711
7/1/2004,18,23429,Albuquerque,NM,5,0,10139.7,-295.8,2015.55,24.8,1101.72,-39.1,157478,10/1/2004,1381,158859,1/1/2005,1651,160510,4/1/2005,2501,163011,7/1/2005,3117,166128
8/1/2004,19,23429,Albuquerque,NM,5,0,10080.3,-59.4,1850.41,-165.1,1114.58,12.9,158063,11/1/2004,1235,159298,2/1/2005,1912,161210,5/1/2005,2670,163880,8/1/2005,3965,167845
9/1/2004,20,23429,Albuquerque,NM,5,0,10027.5,-52.8,1942.2,91.8,1130.2,15.6,158394,12/1/2004,1432,159826,3/1/2005,2433,162259,6/1/2005,2452,164711,9/1/2005,5384,170095
10/1/2004,21,23429,Albuquerque,NM,5,0,10428,400.5,1979.87,37.7,1173.82,43.6,158859,1/1/2005,1651,160510,4/1/2005,2501,163011,7/1/2005,3117,166128,10/1/2005,6088,172216
11/1/2004,22,23429,Albuquerque,NM,5.1,0.1,10783,355,2138.23,158.4,1211.92,38.1,159298,2/1/2005,1912,161210,5/1/2005,2670,163880,8/1/2005,3965,167845,11/1/2005,6579,174424
12/1/2004,23,23429,Albuquerque,NM,5.1,0,10768,-15,2138.22998,0,1191,-20.9,159826,3/1/2005,2433,162259,6/1/2005,2452,164711,9/1/2005,5384,170095,12/1/2005,6663,176758
1/1/2005,24,23429,Albuquerque,NM,5.1,0,10767.1,-0.9,2152.149902,13.9,1206,15,160510,4/1/2005,2501,163011,7/1/2005,3117,166128,10/1/2005,6088,172216,1/1/2006,6842,179058
2/1/2005,25,23429,Albuquerque,NM,5.1,0,10766.2,-0.9,2068.7,-83.4,1203.6,-2.4,161210,5/1/2005,2670,163880,8/1/2005,3965,167845,11/1/2005,6579,174424,2/1/2006,6914,181338
3/1/2005,26,23429,Albuquerque,NM,5.1,0,10503.8,-262.4,2071.25,2.6,1180.59,-23,162259,6/1/2005,2452,164711,9/1/2005,5384,170095,12/1/2005,6663,176758,3/1/2006,6768,183526
4/1/2005,27,23429,Albuquerque,NM,5,-0.1,10192.5,-311.3,1984.81,-86.4,1156.85,-23.7,163011,7/1/2005,3117,166128,10/1/2005,6088,172216,1/1/2006,6842,179058,4/1/2006,7182,186240
5/1/2005,28,23429,Albuquerque,NM,5,0,10233.75,41.3,1928.650024,-56.2,1164,7.2,163880,8/1/2005,3965,167845,11/1/2005,6579,174424,2/1/2006,6914,181338,5/1/2006,7684,189022
6/1/2005,29,23429,Albuquerque,NM,4.9,-0.1,10275,41.3,2087.86,159.2,1191.33,27.3,164711,9/1/2005,5384,170095,12/1/2005,6663,176758,3/1/2006,6768,183526,6/1/2006,8014,191540
7/1/2005,30,23429,Albuquerque,NM,4.8,-0.1,10640.9,365.9,2057.37,-30.5,1234.18,42.9,166128,10/1/2005,6088,172216,1/1/2006,6842,179058,4/1/2006,7182,186240,7/1/2006,7324,193564
8/1/2005,31,23429,Albuquerque,NM,4.7,-0.1,10481.6,-159.3,2195.38,138,1220.33,-13.9,167845,11/1/2005,6579,174424,2/1/2006,6914,181338,5/1/2006,7684,189022,8/1/2006,6594,195616
9/1/2005,32,23429,Albuquerque,NM,4.7,0,10568.7,87.1,2147.9,-47.5,1228.81,8.5,170095,12/1/2005,6663,176758,3/1/2006,6768,183526,6/1/2006,8014,191540,9/1/2006,6311,197851
10/1/2005,33,23429,Albuquerque,NM,4.6,-0.1,10687.3,118.6,2155.429932,7.5,1232,3.2,172216,1/1/2006,6842,179058,4/1/2006,7182,186240,7/1/2006,7324,193564,10/1/2006,6539,200103
11/1/2005,34,23429,Albuquerque,NM,4.4,-0.2,10805.9,118.6,2114.05,-41.4,1249.48,17.5,174424,2/1/2006,6914,181338,5/1/2006,7684,189022,8/1/2006,6594,195616,11/1/2006,6353,201969
12/1/2005,35,23429,Albuquerque,NM,4.3,-0.1,10717.5,-88.4,2267.17,153.1,1248.29,-1.2,176758,3/1/2006,6768,183526,6/1/2006,8014,191540,9/1/2006,6311,197851,12/1/2006,5294,203145
1/1/2006,36,23429,Albuquerque,NM,4.1,-0.2,10855.45,138,2243.73999,-23.4,1275,26.7,179058,4/1/2006,7182,186240,7/1/2006,7324,193564,10/1/2006,6539,200103,1/1/2007,4084,204187
2/1/2006,37,23429,Albuquerque,NM,4,-0.1,10993.4,137.9,2310.56,66.8,1280.66,5.7,181338,5/1/2006,7684,189022,8/1/2006,6594,195616,11/1/2006,6353,201969,2/1/2007,3258,205227
3/1/2006,38,23429,Albuquerque,NM,3.9,-0.1,11109.3,115.9,2314.64,4.1,1294.87,14.2,183526,6/1/2006,8014,191540,9/1/2006,6311,197851,12/1/2006,5294,203145,3/1/2007,3036,206181
4/1/2006,39,23429,Albuquerque,NM,3.9,0,11138.8,29.5,2336.73999,22.1,1306,11.1,186240,7/1/2006,7324,193564,10/1/2006,6539,200103,1/1/2007,4084,204187,4/1/2007,3192,207379
5/1/2006,40,23429,Albuquerque,NM,4,0.1,11168.3,29.5,2304.79,-31.9,1270.09,-35.9,189022,8/1/2006,6594,195616,11/1/2006,6353,201969,2/1/2007,3258,205227,5/1/2007,3085,208312
6/1/2006,41,23429,Albuquerque,NM,4,0,11150.2,-18.1,2219.86,-84.9,1270.2,0.1,191540,9/1/2006,6311,197851,12/1/2006,5294,203145,3/1/2007,3036,206181,6/1/2007,3774,209955
7/1/2006,42,23429,Albuquerque,NM,4,0,11265.7,115.5,2190.429932,-29.4,1288,17.8,193564,10/1/2006,6539,200103,1/1/2007,4084,204187,4/1/2007,3192,207379,7/1/2007,3728,211107
8/1/2006,43,23429,Albuquerque,NM,4,0,11381.2,115.5,2061.99,-128.4,1303.82,15.8,195616,11/1/2006,6353,201969,2/1/2007,3258,205227,5/1/2007,3085,208312,8/1/2007,3719,212031
9/1/2006,44,23429,Albuquerque,NM,4,0,11679.1,297.9,2193.16,131.2,1335.85,32,197851,12/1/2006,5294,203145,3/1/2007,3036,206181,6/1/2007,3774,209955,9/1/2007,1893,211848
10/1/2006,45,23429,Albuquerque,NM,3.9,-0.1,11950.5,271.4,2237.600098,44.4,1340,4.2,200103,1/1/2007,4084,204187,4/1/2007,3192,207379,7/1/2007,3728,211107,10/1/2007,443,211550
11/1/2006,46,23429,Albuquerque,NM,3.9,0,12221.9,271.4,2334.35,96.7,1400.63,60.6,201969,2/1/2007,3258,205227,5/1/2007,3085,208312,8/1/2007,3719,212031,11/1/2007,-669,211362
12/1/2006,47,23429,Albuquerque,NM,3.8,-0.1,12463.2,241.3,2413.21,78.9,1418.3,17.7,203145,3/1/2007,3036,206181,6/1/2007,3774,209955,9/1/2007,1893,211848,12/1/2007,-446,211402
1/1/2007,48,23429,Albuquerque,NM,3.7,-0.1,12365.9,-97.3,2423.159912,9.9,1425,6.7,204187,4/1/2007,3192,207379,7/1/2007,3728,211107,10/1/2007,443,211550,1/1/2008,-413,211137
