Stock,Date,Adj Close
Dow,1/1/1985,1286.77002
Dow,2/1/1985,1284.01001
Dow,3/1/1985,1266.780029
Dow,4/1/1985,1258.060059
Dow,5/1/1985,1315.410034
Dow,6/1/1985,1335.459961
Dow,7/1/1985,1347.449951
Dow,8/1/1985,1334.01001
Dow,9/1/1985,1328.630005
Dow,10/1/1985,1374.310059
Dow,11/1/1985,1472.130005
Dow,12/1/1985,1546.670044
Dow,1/1/1986,1570.98999
Dow,2/1/1986,1709.060059
Dow,3/1/1986,1818.609985
Dow,4/1/1986,1783.97998
Dow,5/1/1986,1876.709961
Dow,6/1/1986,1892.719971
Dow,7/1/1986,1775.310059
Dow,8/1/1986,1898.339966
Dow,9/1/1986,1767.579956
Dow,10/1/1986,1877.709961
Dow,11/1/1986,1914.22998
Dow,12/1/1986,1895.949951
Dow,1/1/1987,2158.040039
Dow,2/1/1987,2223.98999
Dow,3/1/1987,2304.689941
Dow,4/1/1987,2286.360107
Dow,5/1/1987,2291.570068
Dow,6/1/1987,2418.530029
Dow,7/1/1987,2572.070068
Dow,8/1/1987,2662.949951
Dow,9/1/1987,2596.280029
Dow,10/1/1987,1993.530029
Dow,11/1/1987,1833.550049
Dow,12/1/1987,1938.829956
Dow,1/1/1988,1958.219971
Dow,2/1/1988,2071.620117
Dow,3/1/1988,1988.060059
Dow,4/1/1988,2032.329956
Dow,5/1/1988,2031.119995
Dow,6/1/1988,2141.709961
Dow,7/1/1988,2128.72998
Dow,8/1/1988,2031.650024
Dow,9/1/1988,2112.909912
Dow,10/1/1988,2148.649902
Dow,11/1/1988,2114.51001
Dow,12/1/1988,2168.570068
Dow,1/1/1989,2342.320068
Dow,2/1/1989,2258.389893
Dow,3/1/1989,2293.620117
Dow,4/1/1989,2418.800049
Dow,5/1/1989,2480.149902
Dow,6/1/1989,2440.060059
Dow,7/1/1989,2660.659912
Dow,8/1/1989,2737.27002
Dow,9/1/1989,2692.820068
Dow,10/1/1989,2645.080078
Dow,11/1/1989,2706.27002
Dow,12/1/1989,2753.199951
Dow,1/1/1990,2590.540039
Dow,2/1/1990,2627.25
Dow,3/1/1990,2707.209961
Dow,4/1/1990,2656.76001
Dow,5/1/1990,2876.659912
Dow,6/1/1990,2880.689941
Dow,7/1/1990,2905.199951
Dow,8/1/1990,2614.360107
Dow,9/1/1990,2452.47998
Dow,10/1/1990,2442.330078
Dow,11/1/1990,2559.649902
Dow,12/1/1990,2633.659912
Dow,1/1/1991,2736.389893
Dow,2/1/1991,2882.179932
Dow,3/1/1991,2913.860107
Dow,4/1/1991,2887.870117
Dow,5/1/1991,3027.5
Dow,6/1/1991,2906.75
Dow,7/1/1991,3024.820068
Dow,8/1/1991,3043.600098
Dow,9/1/1991,3016.77002
Dow,10/1/1991,3069.100098
Dow,11/1/1991,2894.679932
Dow,12/1/1991,3168.830078
Dow,1/1/1992,3223.399902
Dow,2/1/1992,3267.699951
Dow,3/1/1992,3235.5
Dow,4/1/1992,3359.100098
Dow,5/1/1992,3396.899902
Dow,6/1/1992,3318.5
Dow,7/1/1992,3393.800049
Dow,8/1/1992,3257.399902
Dow,9/1/1992,3271.699951
Dow,10/1/1992,3226.300049
Dow,11/1/1992,3305.199951
Dow,12/1/1992,3301.110107
Dow,1/1/1993,3310
Dow,2/1/1993,3370.810059
Dow,3/1/1993,3435.110107
Dow,4/1/1993,3427.550049
Dow,5/1/1993,3527.429932
Dow,6/1/1993,3516.080078
Dow,7/1/1993,3539.469971
Dow,8/1/1993,3651.25
Dow,9/1/1993,3555.120117
Dow,10/1/1993,3680.590088
Dow,11/1/1993,3683.949951
Dow,12/1/1993,3754.090088
Dow,1/1/1994,3978.360107
Dow,2/1/1994,3832.02002
Dow,3/1/1994,3635.959961
Dow,4/1/1994,3681.689941
Dow,5/1/1994,3758.370117
Dow,6/1/1994,3624.959961
Dow,7/1/1994,3764.5
Dow,8/1/1994,3913.419922
Dow,9/1/1994,3843.189941
Dow,10/1/1994,3908.120117
Dow,11/1/1994,3739.22998
Dow,12/1/1994,3834.439941
Dow,1/1/1995,3843.860107
Dow,2/1/1995,4011.050049
Dow,3/1/1995,4157.689941
Dow,4/1/1995,4321.27002
Dow,5/1/1995,4465.140137
Dow,6/1/1995,4556.100098
Dow,7/1/1995,4708.470215
Dow,8/1/1995,4610.560059
Dow,9/1/1995,4789.080078
Dow,10/1/1995,4755.47998
Dow,11/1/1995,5074.490234
Dow,12/1/1995,5117.120117
Dow,1/1/1996,5395.299805
Dow,2/1/1996,5485.620117
Dow,3/1/1996,5587.140137
Dow,4/1/1996,5569.080078
Dow,5/1/1996,5643.180176
Dow,6/1/1996,5654.629883
Dow,7/1/1996,5528.910156
Dow,8/1/1996,5616.209961
Dow,9/1/1996,5882.169922
Dow,10/1/1996,6029.379883
Dow,11/1/1996,6521.700195
Dow,12/1/1996,6448.27002
Dow,1/1/1997,6813.089844
Dow,2/1/1997,6877.740234
Dow,3/1/1997,6583.47998
Dow,4/1/1997,7009
Dow,5/1/1997,7331
Dow,6/1/1997,7672.799805
Dow,7/1/1997,8222.599609
Dow,8/1/1997,7622.399902
Dow,9/1/1997,7945.299805
Dow,10/1/1997,7442.100098
Dow,11/1/1997,7823.100098
Dow,12/1/1997,7908.299805
Dow,1/1/1998,7906.5
Dow,2/1/1998,8545.719727
Dow,3/1/1998,8799.80957
Dow,4/1/1998,9063.370117
Dow,5/1/1998,8899.950195
Dow,6/1/1998,8952.019531
Dow,7/1/1998,8883.290039
Dow,8/1/1998,7539.069824
Dow,9/1/1998,7842.620117
Dow,10/1/1998,8592.099609
Dow,11/1/1998,9116.549805
Dow,12/1/1998,9181.429688
Dow,1/1/1999,9358.830078
Dow,2/1/1999,9306.580078
Dow,3/1/1999,9786.160156
Dow,4/1/1999,10789.04004
Dow,5/1/1999,10559.74023
Dow,6/1/1999,10970.79981
Dow,7/1/1999,10655.15039
Dow,8/1/1999,10829.28027
Dow,9/1/1999,10336.9502
Dow,10/1/1999,10729.86035
Dow,11/1/1999,10877.80957
Dow,12/1/1999,11497.12012
Dow,1/1/2000,10940.53027
Dow,2/1/2000,10128.30957
Dow,3/1/2000,10921.91992
Dow,4/1/2000,10733.91016
Dow,5/1/2000,10522.33008
Dow,6/1/2000,10447.88965
Dow,7/1/2000,10521.98047
Dow,8/1/2000,11215.09961
Dow,9/1/2000,10650.91992
Dow,10/1/2000,10971.13965
Dow,11/1/2000,10414.49023
Dow,12/1/2000,10787.99023
Dow,1/1/2001,10887.36035
Dow,2/1/2001,10495.28027
Dow,3/1/2001,9878.780273
Dow,4/1/2001,10734.96973
Dow,5/1/2001,10911.94043
Dow,6/1/2001,10502.40039
Dow,7/1/2001,10522.80957
Dow,8/1/2001,9949.75
Dow,9/1/2001,8847.55957
Dow,10/1/2001,9075.139648
Dow,11/1/2001,9851.55957
Dow,12/1/2001,10021.57031
Dow,1/1/2002,9920
Dow,2/1/2002,10106.12988
Dow,3/1/2002,10403.94043
Dow,4/1/2002,9946.219727
Dow,5/1/2002,9925.25
Dow,6/1/2002,9243.259766
Dow,7/1/2002,8736.589844
Dow,8/1/2002,8663.5
Dow,9/1/2002,7591.930176
Dow,10/1/2002,8397.030273
Dow,11/1/2002,8896.089844
Dow,12/1/2002,8341.629883
Dow,1/1/2003,8053.810059
Dow,2/1/2003,7891.080078
Dow,3/1/2003,7992.129883
Dow,4/1/2003,8480.089844
Dow,5/1/2003,8850.259766
Dow,6/1/2003,8985.44043
Dow,7/1/2003,9233.799805
Dow,8/1/2003,9415.820313
Dow,9/1/2003,9275.05957
Dow,10/1/2003,9801.120117
Dow,11/1/2003,9782.459961
Dow,12/1/2003,10453.91992
Dow,1/1/2004,10488.07031
Dow,2/1/2004,10583.91992
Dow,3/1/2004,10357.7002
Dow,4/1/2004,10225.57031
Dow,5/1/2004,10188.4502
Dow,6/1/2004,10435.48047
Dow,7/1/2004,10139.70996
Dow,8/1/2004,10173.91992
Dow,9/1/2004,10080.26953
Dow,10/1/2004,10027.46973
Dow,11/1/2004,10428.01953
Dow,12/1/2004,10783.00977
Dow,1/1/2005,10489.94043
Dow,2/1/2005,10766.23047
Dow,3/1/2005,10503.75977
Dow,4/1/2005,10192.50977
Dow,5/1/2005,10467.48047
Dow,6/1/2005,10274.96973
Dow,7/1/2005,10640.91016
Dow,8/1/2005,10481.59961
Dow,9/1/2005,10568.7002
Dow,10/1/2005,10440.07031
Dow,11/1/2005,10805.87012
Dow,12/1/2005,10717.5
Dow,1/1/2006,10864.86035
Dow,2/1/2006,10993.41016
Dow,3/1/2006,11109.32031
Dow,4/1/2006,11367.13965
Dow,5/1/2006,11168.30957
Dow,6/1/2006,11150.21973
Dow,7/1/2006,11185.67969
Dow,8/1/2006,11381.15039
Dow,9/1/2006,11679.07031
Dow,10/1/2006,12080.73047
Dow,11/1/2006,12221.92969
Dow,12/1/2006,12463.15039
Dow,1/1/2007,12621.69043
Dow,2/1/2007,12268.62988
Dow,3/1/2007,12354.34961
Dow,4/1/2007,13062.91016
Dow,5/1/2007,13627.63965
Dow,6/1/2007,13408.62012
Dow,7/1/2007,13211.99023
Dow,8/1/2007,13357.74023
Dow,9/1/2007,13895.62988
Dow,10/1/2007,13930.00977
Dow,11/1/2007,13371.71973
Dow,12/1/2007,13264.82031
Dow,1/1/2008,12650.36035
Dow,2/1/2008,12266.38965
Dow,3/1/2008,12262.88965
Dow,4/1/2008,12820.12988
Dow,5/1/2008,12638.32031
Dow,6/1/2008,11350.00977
Dow,7/1/2008,11378.01953
Dow,8/1/2008,11543.95996
Dow,9/1/2008,10850.66016
Dow,10/1/2008,9325.009766
Dow,11/1/2008,8829.040039
Dow,12/1/2008,8776.389648
Dow,1/1/2009,8000.859863
Dow,2/1/2009,7062.930176
Dow,3/1/2009,7608.919922
Dow,4/1/2009,8168.120117
Dow,5/1/2009,8500.330078
Dow,6/1/2009,8447
Dow,7/1/2009,9171.610352
Dow,8/1/2009,9496.280273
Dow,9/1/2009,9712.280273
Dow,10/1/2009,9712.730469
Dow,11/1/2009,10344.83984
Dow,12/1/2009,10428.04981
Dow,1/1/2010,10067.33008
Dow,2/1/2010,10325.25977
Dow,3/1/2010,10856.62988
Dow,4/1/2010,11008.61035
Dow,5/1/2010,10136.62988
Dow,6/1/2010,9774.019531
Dow,7/1/2010,10465.94043
Dow,8/1/2010,10014.71973
Dow,9/1/2010,10788.04981
Dow,10/1/2010,11118.49023
Dow,11/1/2010,11006.01953
Dow,12/1/2010,11577.50977
Dow,1/1/2011,11891.92969
Dow,2/1/2011,12226.33984
Dow,3/1/2011,12319.73047
Dow,4/1/2011,12810.54004
Dow,5/1/2011,12569.79004
Dow,6/1/2011,12414.33984
Dow,7/1/2011,12143.24023
Dow,8/1/2011,11613.53027
Dow,9/1/2011,10913.37988
Dow,10/1/2011,11955.00977
Dow,11/1/2011,12045.67969
Dow,12/1/2011,12217.55957
Dow,1/1/2012,12632.91016
Dow,2/1/2012,12952.07031
Dow,3/1/2012,13212.04004
Dow,4/1/2012,13213.62988
Dow,5/1/2012,12393.4502
Dow,6/1/2012,12880.08984
Dow,7/1/2012,13008.67969
Dow,8/1/2012,13090.83984
Dow,9/1/2012,13437.12988
Dow,10/1/2012,13096.45996
Dow,11/1/2012,13025.58008
Dow,12/1/2012,13104.13965
Dow,1/1/2013,13860.58008
Dow,2/1/2013,14054.49023
Dow,3/1/2013,14578.54004
Dow,4/1/2013,14839.79981
Dow,5/1/2013,15115.57031
Dow,6/1/2013,14909.59961
Dow,7/1/2013,15499.54004
Dow,8/1/2013,14810.30957
Dow,9/1/2013,15129.66992
Dow,10/1/2013,15545.75
Dow,11/1/2013,16086.41016
Dow,12/1/2013,16576.66016
Dow,1/1/2014,15698.84961
Dow,2/1/2014,16321.70996
Dow,3/1/2014,16457.66016
Dow,4/1/2014,16580.83984
Dow,5/1/2014,16717.16992
Dow,6/1/2014,16826.59961
Dow,7/1/2014,16563.30078
Dow,8/1/2014,17098.44922
Dow,9/1/2014,17042.90039
Dow,10/1/2014,17390.51953
Dow,11/1/2014,17828.24023
Dow,12/1/2014,17823.07031
Dow,1/1/2015,17164.94922
Dow,2/1/2015,18132.69922
Dow,3/1/2015,17776.11914
Dow,4/1/2015,17840.51953
Dow,5/1/2015,18010.67969
Dow,6/1/2015,17619.50977
Dow,7/1/2015,17689.85938
Dow,8/1/2015,16528.0293
Dow,9/1/2015,16284.7002
Dow,10/1/2015,17663.53906
Dow,11/1/2015,17719.91992
Dow,12/1/2015,17425.0293
Dow,1/1/2016,16466.30078
Dow,2/1/2016,16516.5
Dow,3/1/2016,17685.08984
Dow,4/1/2016,17773.64063
Dow,5/1/2016,17787.19922
Dow,6/1/2016,17929.99023
Dow,7/1/2016,18432.24023
Dow,8/1/2016,18400.88086
Dow,9/1/2016,18308.15039
Dow,10/1/2016,18142.41992
Dow,11/1/2016,19123.58008
Dow,12/1/2016,19762.59961
Dow,1/1/2017,19864.08984
Dow,2/1/2017,20812.24023
Dow,3/1/2017,20663.2207
Dow,4/1/2017,20940.50977
Dow,5/1/2017,21008.65039
Dow,6/1/2017,21349.63086
Dow,7/1/2017,21891.11914
Dow,8/1/2017,21948.09961
Dow,9/1/2017,22405.08984
Dow,10/1/2017,23377.24023
Dow,11/1/2017,24272.34961
Dow,12/1/2017,24719.2207
Dow,1/1/2018,26149.39063
Dow,2/1/2018,25029.19922
Dow,3/1/2018,24103.10938
Dow,4/1/2018,24163.15039
Dow,5/1/2018,24415.83984
Dow,6/1/2018,24271.41016
Dow,7/1/2018,25415.18945
Dow,8/1/2018,25964.82031
Dow,9/1/2018,26458.31055
Dow,10/1/2018,25115.75977
Dow,11/1/2018,25538.46094
Dow,12/1/2018,23327.46094
Dow,1/1/2019,24999.66992
Dow,2/1/2019,25916
Dow,3/1/2019,25928.67969
Dow,4/1/2019,26592.91016
Dow,5/1/2019,24815.03906
Dow,6/1/2019,26599.96094
Dow,7/1/2019,26864.26953
Dow,8/1/2019,26403.2793
Dow,9/1/2019,26916.83008
Dow,10/1/2019,27046.23047
Dow,11/1/2019,28051.41016
Dow,12/1/2019,28538.43945
Dow,1/1/2020,28256.0293
Dow,2/1/2020,25409.35938
Dow,3/1/2020,21917.16016
Dow,4/1/2020,22679.99023
