Stock,Date,Adj Close
S&P500,12/1/1927,17.66
S&P500,1/1/1928,17.57
S&P500,2/1/1928,17.26
S&P500,3/1/1928,19.280001
S&P500,4/1/1928,19.75
S&P500,5/1/1928,20
S&P500,6/1/1928,19.139999
S&P500,7/1/1928,19.43
S&P500,8/1/1928,20.870001
S&P500,9/1/1928,21.139999
S&P500,10/1/1928,21.68
S&P500,11/1/1928,24.280001
S&P500,12/1/1928,24.35
S&P500,1/1/1929,25.74
S&P500,2/1/1929,25.59
S&P500,3/1/1929,25.530001
S&P500,4/1/1929,25.940001
S&P500,5/1/1929,24.83
S&P500,6/1/1929,27.41
S&P500,7/1/1929,28.879999
S&P500,8/1/1929,31.709999
S&P500,9/1/1929,30.16
S&P500,10/1/1929,24.15
S&P500,11/1/1929,20.92
S&P500,12/1/1929,21.450001
S&P500,1/1/1930,22.790001
S&P500,2/1/1930,23.280001
S&P500,3/1/1930,24.15
S&P500,4/1/1930,24.9
S&P500,5/1/1930,24.49
S&P500,6/1/1930,20.459999
S&P500,7/1/1930,21.209999
S&P500,8/1/1930,21.370001
S&P500,9/1/1930,18.59
S&P500,10/1/1930,16.940001
S&P500,11/1/1930,16.379999
S&P500,12/1/1930,15.34
S&P500,1/1/1931,16.190001
S&P500,2/1/1931,18.030001
S&P500,3/1/1931,16.690001
S&P500,4/1/1931,15.09
S&P500,5/1/1931,13.02
S&P500,6/1/1931,14.83
S&P500,7/1/1931,13.73
S&P500,8/1/1931,13.86
S&P500,9/1/1931,9.71
S&P500,10/1/1931,10.43
S&P500,11/1/1931,9.5
S&P500,12/1/1931,8.12
S&P500,1/1/1932,7.94
S&P500,2/1/1932,8.29
S&P500,3/1/1932,7.31
S&P500,4/1/1932,5.83
S&P500,5/1/1932,4.47
S&P500,6/1/1932,4.43
S&P500,7/1/1932,6.03
S&P500,8/1/1932,8.39
S&P500,9/1/1932,8.08
S&P500,10/1/1932,6.96
S&P500,11/1/1932,6.55
S&P500,12/1/1932,6.92
S&P500,1/1/1933,6.94
S&P500,2/1/1933,5.66
S&P500,3/1/1933,5.85
S&P500,4/1/1933,7.83
S&P500,5/1/1933,9.64
S&P500,6/1/1933,10.91
S&P500,7/1/1933,9.95
S&P500,8/1/1933,11.09
S&P500,9/1/1933,9.72
S&P500,10/1/1933,8.96
S&P500,11/1/1933,9.88
S&P500,12/1/1933,9.97
S&P500,1/1/1934,11.17
S&P500,2/1/1934,10.76
S&P500,3/1/1934,10.62
S&P500,4/1/1934,10.46
S&P500,5/1/1934,9.61
S&P500,6/1/1934,9.81
S&P500,7/1/1934,8.68
S&P500,8/1/1934,9.15
S&P500,9/1/1934,9.08
S&P500,10/1/1934,8.81
S&P500,11/1/1934,9.54
S&P500,12/1/1934,9.5
S&P500,1/1/1935,9.1
S&P500,2/1/1935,8.74
S&P500,3/1/1935,8.45
S&P500,4/1/1935,9.28
S&P500,5/1/1935,9.58
S&P500,6/1/1935,10.24
S&P500,7/1/1935,11.08
S&P500,8/1/1935,11.24
S&P500,9/1/1935,11.59
S&P500,10/1/1935,12.46
S&P500,11/1/1935,12.94
S&P500,12/1/1935,13.43
S&P500,1/1/1936,14.31
S&P500,2/1/1936,14.6
S&P500,3/1/1936,14.92
S&P500,4/1/1936,13.77
S&P500,5/1/1936,14.4
S&P500,6/1/1936,14.84
S&P500,7/1/1936,15.85
S&P500,8/1/1936,15.99
S&P500,9/1/1936,16.01
S&P500,10/1/1936,17.23
S&P500,11/1/1936,17.280001
S&P500,12/1/1936,17.18
S&P500,1/1/1937,17.77
S&P500,2/1/1937,18.059999
S&P500,3/1/1937,17.92
S&P500,4/1/1937,16.43
S&P500,5/1/1937,16.26
S&P500,6/1/1937,15.4
S&P500,7/1/1937,16.77
S&P500,8/1/1937,16.040001
S&P500,9/1/1937,13.76
S&P500,10/1/1937,12.35
S&P500,11/1/1937,11.11
S&P500,12/1/1937,10.55
S&P500,1/1/1938,10.69
S&P500,2/1/1938,11.34
S&P500,3/1/1938,8.5
S&P500,4/1/1938,9.78
S&P500,5/1/1938,9.27
S&P500,6/1/1938,11.56
S&P500,7/1/1938,12.33
S&P500,8/1/1938,12.06
S&P500,9/1/1938,12.24
S&P500,10/1/1938,13.17
S&P500,11/1/1938,12.73
S&P500,12/1/1938,13.14
S&P500,1/1/1939,12.3
S&P500,2/1/1939,12.7
S&P500,3/1/1939,10.98
S&P500,4/1/1939,10.93
S&P500,5/1/1939,11.6
S&P500,6/1/1939,10.86
S&P500,7/1/1939,12.04
S&P500,8/1/1939,11.18
S&P500,9/1/1939,12.79
S&P500,10/1/1939,12.83
S&P500,11/1/1939,12.2
S&P500,12/1/1939,12.46
S&P500,1/1/1940,12.05
S&P500,2/1/1940,12.13
S&P500,3/1/1940,12.18
S&P500,4/1/1940,12.19
S&P500,5/1/1940,9.27
S&P500,6/1/1940,9.98
S&P500,7/1/1940,10.29
S&P500,8/1/1940,10.5
S&P500,9/1/1940,10.66
S&P500,10/1/1940,11.08
S&P500,11/1/1940,10.57
S&P500,12/1/1940,10.58
S&P500,1/1/1941,10.07
S&P500,2/1/1941,9.92
S&P500,3/1/1941,9.96
S&P500,4/1/1941,9.31
S&P500,5/1/1941,9.38
S&P500,6/1/1941,9.85
S&P500,7/1/1941,10.39
S&P500,8/1/1941,10.28
S&P500,9/1/1941,10.2
S&P500,10/1/1941,9.5
S&P500,11/1/1941,9.12
S&P500,12/1/1941,8.69
S&P500,1/1/1942,8.85
S&P500,2/1/1942,8.59
S&P500,3/1/1942,8.01
S&P500,4/1/1942,7.66
S&P500,5/1/1942,8.15
S&P500,6/1/1942,8.3
S&P500,7/1/1942,8.56
S&P500,8/1/1942,8.62
S&P500,9/1/1942,8.85
S&P500,10/1/1942,9.36
S&P500,11/1/1942,9.29
S&P500,12/1/1942,9.77
S&P500,1/1/1943,10.44
S&P500,2/1/1943,10.97
S&P500,3/1/1943,11.58
S&P500,4/1/1943,11.59
S&P500,5/1/1943,12.05
S&P500,6/1/1943,12.35
S&P500,7/1/1943,11.85
S&P500,8/1/1943,11.8
S&P500,9/1/1943,12.08
S&P500,10/1/1943,11.91
S&P500,11/1/1943,11.02
S&P500,12/1/1943,11.67
S&P500,1/1/1944,11.85
S&P500,2/1/1944,11.82
S&P500,3/1/1944,12.02
S&P500,4/1/1944,11.87
S&P500,5/1/1944,12.35
S&P500,6/1/1944,12.98
S&P500,7/1/1944,12.71
S&P500,8/1/1944,12.82
S&P500,9/1/1944,12.74
S&P500,10/1/1944,12.78
S&P500,11/1/1944,12.83
S&P500,12/1/1944,13.28
S&P500,1/1/1945,13.47
S&P500,2/1/1945,14.3
S&P500,3/1/1945,13.61
S&P500,4/1/1945,14.84
S&P500,5/1/1945,15.01
S&P500,6/1/1945,14.87
S&P500,7/1/1945,14.66
S&P500,8/1/1945,15.51
S&P500,9/1/1945,16.049999
S&P500,10/1/1945,16.65
S&P500,11/1/1945,17.190001
S&P500,12/1/1945,17.360001
S&P500,1/1/1946,18.57
S&P500,2/1/1946,17.280001
S&P500,3/1/1946,18.040001
S&P500,4/1/1946,18.76
S&P500,5/1/1946,19.18
S&P500,6/1/1946,18.43
S&P500,7/1/1946,17.959999
S&P500,8/1/1946,16.65
S&P500,9/1/1946,14.96
S&P500,10/1/1946,14.84
S&P500,11/1/1946,14.68
S&P500,12/1/1946,15.3
S&P500,1/1/1947,15.66
S&P500,2/1/1947,15.43
S&P500,3/1/1947,15.17
S&P500,4/1/1947,14.58
S&P500,5/1/1947,14.45
S&P500,6/1/1947,15.21
S&P500,7/1/1947,15.76
S&P500,8/1/1947,15.32
S&P500,9/1/1947,15.11
S&P500,10/1/1947,15.43
S&P500,11/1/1947,14.98
S&P500,12/1/1947,15.3
S&P500,1/1/1948,14.68
S&P500,2/1/1948,13.93
S&P500,3/1/1948,15.08
S&P500,4/1/1948,15.48
S&P500,5/1/1948,16.690001
S&P500,6/1/1948,16.74
S&P500,7/1/1948,15.85
S&P500,8/1/1948,15.97
S&P500,9/1/1948,15.49
S&P500,10/1/1948,16.5
S&P500,11/1/1948,14.75
S&P500,12/1/1948,15.2
S&P500,1/1/1949,15.22
S&P500,2/1/1949,14.62
S&P500,3/1/1949,15.06
S&P500,4/1/1949,14.71
S&P500,5/1/1949,14.19
S&P500,6/1/1949,14.16
S&P500,7/1/1949,15.04
S&P500,8/1/1949,15.22
S&P500,9/1/1949,15.58
S&P500,10/1/1949,16.040001
S&P500,11/1/1949,16.059999
S&P500,12/1/1949,16.790001
S&P500,1/1/1950,17.049999
S&P500,2/1/1950,17.219999
S&P500,3/1/1950,17.290001
S&P500,4/1/1950,18.07
S&P500,5/1/1950,18.780001
S&P500,6/1/1950,17.690001
S&P500,7/1/1950,17.84
S&P500,8/1/1950,18.42
S&P500,9/1/1950,19.450001
S&P500,10/1/1950,19.530001
S&P500,11/1/1950,19.51
S&P500,12/1/1950,20.41
S&P500,1/1/1951,21.66
S&P500,2/1/1951,21.799999
S&P500,3/1/1951,21.4
S&P500,4/1/1951,22.43
S&P500,5/1/1951,21.52
S&P500,6/1/1951,20.959999
S&P500,7/1/1951,22.4
S&P500,8/1/1951,23.280001
S&P500,9/1/1951,23.26
S&P500,10/1/1951,22.940001
S&P500,11/1/1951,22.879999
S&P500,12/1/1951,23.77
S&P500,1/1/1952,24.139999
S&P500,2/1/1952,23.26
S&P500,3/1/1952,24.370001
S&P500,4/1/1952,23.32
S&P500,5/1/1952,23.860001
S&P500,6/1/1952,24.959999
S&P500,7/1/1952,25.4
S&P500,8/1/1952,25.030001
S&P500,9/1/1952,24.540001
S&P500,10/1/1952,24.52
S&P500,11/1/1952,25.66
