date,region_id,city,statecode,unemployment,housing,deltaunemp,deltastocks,threem,threed,time
2/1/2003,6752,Richmond,VA,4.2,119810,4.2,-212,5/1/2003,3549,1
3/1/2003,6752,Richmond,VA,4.2,120901,0,-87.2,6/1/2003,3603,2
4/1/2003,6752,Richmond,VA,4.2,122176,0,249,7/1/2003,3372,3
5/1/2003,6752,Richmond,VA,4.2,123359,0,180.4,8/1/2003,3408,4
6/1/2003,6752,Richmond,VA,4.2,124504,0,58.4,9/1/2003,3777,5
7/1/2003,6752,Richmond,VA,4.3,125548,0.1,134.2,10/1/2003,4035,6
8/1/2003,6752,Richmond,VA,4.3,126767,0,91.7,11/1/2003,3691,7
9/1/2003,6752,Richmond,VA,4.2,128281,-0.1,110.9,12/1/2003,2839,8
10/1/2003,6752,Richmond,VA,4.2,129583,0,70.7,1/1/2004,2356,9
11/1/2003,6752,Richmond,VA,4.1,130458,-0.1,155,2/1/2004,2691,10
12/1/2003,6752,Richmond,VA,4.1,131120,0,135.5,3/1/2004,3143,11
1/1/2004,6752,Richmond,VA,4,131939,-0.1,-14,4/1/2004,3227,12
2/1/2004,6752,Richmond,VA,4,133149,0,20.8,5/1/2004,2713,13
3/1/2004,6752,Richmond,VA,4,134263,0,-11.4,6/1/2004,2607,14
4/1/2004,6752,Richmond,VA,4.1,135166,0.1,-64.6,7/1/2004,2717,15
5/1/2004,6752,Richmond,VA,4.1,135862,0,12.4,8/1/2004,3035,16
6/1/2004,6752,Richmond,VA,4.1,136870,0,60.6,9/1/2004,2876,17
7/1/2004,6752,Richmond,VA,4,137883,-0.1,-103.4,10/1/2004,3108,18
8/1/2004,6752,Richmond,VA,4,138897,0,-70.5,11/1/2004,3710,19
9/1/2004,6752,Richmond,VA,4,139746,0,18.2,12/1/2004,4536,20
10/1/2004,6752,Richmond,VA,3.9,140991,-0.1,160.6,1/1/2005,4942,21
11/1/2004,6752,Richmond,VA,3.9,142607,0,183.8,2/1/2005,3999,22
12/1/2004,6752,Richmond,VA,3.9,144282,0,-12,3/1/2005,3744,23
1/1/2005,6752,Richmond,VA,3.9,145933,0,9.3,4/1/2005,3649,24
2/1/2005,6752,Richmond,VA,3.9,146606,0,-28.9,5/1/2005,5421,25
3/1/2005,6752,Richmond,VA,3.9,148026,0,-94.3,6/1/2005,5868,26
4/1/2005,6752,Richmond,VA,3.9,149582,0,-140.5,7/1/2005,6411,27
5/1/2005,6752,Richmond,VA,3.8,152027,-0.1,-2.6,8/1/2005,5960,28
6/1/2005,6752,Richmond,VA,3.8,153894,0,75.9,9/1/2005,6128,29
7/1/2005,6752,Richmond,VA,3.8,155993,0,126.1,10/1/2005,5838,30
8/1/2005,6752,Richmond,VA,3.8,157987,0,-11.7,11/1/2005,5684,31
9/1/2005,6752,Richmond,VA,3.8,160022,0,16,12/1/2005,5392,32
10/1/2005,6752,Richmond,VA,3.8,161831,0,43.1,1/1/2006,4952,33
11/1/2005,6752,Richmond,VA,3.7,163671,-0.1,31.6,2/1/2006,4730,34
12/1/2005,6752,Richmond,VA,3.6,165414,-0.1,21.2,3/1/2006,4335,35
1/1/2006,6752,Richmond,VA,3.5,166783,-0.1,47.1,4/1/2006,4711,36
2/1/2006,6752,Richmond,VA,3.3,168401,-0.2,70.1,5/1/2006,4665,37
3/1/2006,6752,Richmond,VA,3.3,169749,0,44.7,6/1/2006,5436,38
4/1/2006,6752,Richmond,VA,3.3,171494,0,20.9,7/1/2006,5316,39
5/1/2006,6752,Richmond,VA,3.3,173066,0,-12.8,8/1/2006,5308,40
6/1/2006,6752,Richmond,VA,3.3,175185,0,-34.3,9/1/2006,4197,41
7/1/2006,6752,Richmond,VA,3.3,176810,0,34.6,10/1/2006,3511,42
8/1/2006,6752,Richmond,VA,3.3,178374,0,1,11/1/2006,2644,43
9/1/2006,6752,Richmond,VA,3.3,179382,0,153.7,12/1/2006,2738,44
10/1/2006,6752,Richmond,VA,3.2,180321,-0.1,106.7,1/1/2007,3599,45
11/1/2006,6752,Richmond,VA,3.2,181018,0,142.9,2/1/2007,4942,46
12/1/2006,6752,Richmond,VA,3.1,182120,-0.1,112.6,3/1/2007,5299,47
1/1/2007,6752,Richmond,VA,3,183920,-0.1,-26.9,4/1/2007,4567,48
2/1/2007,6752,Richmond,VA,3,185960,0,-23.4,5/1/2007,3385,49
3/1/2007,6752,Richmond,VA,2.9,187419,-0.1,11.8,6/1/2007,2642,50
4/1/2007,6752,Richmond,VA,2.9,188487,0,236.6,7/1/2007,1744,51
5/1/2007,6752,Richmond,VA,2.9,189345,0,267,8/1/2007,770,52
6/1/2007,6752,Richmond,VA,3,190061,0.1,-54.6,9/1/2007,-205,53
7/1/2007,6752,Richmond,VA,3,190231,0,-7.3,10/1/2007,-842,54
8/1/2007,6752,Richmond,VA,3.1,190115,0.1,-39.5,11/1/2007,-1350,55
9/1/2007,6752,Richmond,VA,3.2,189856,0.1,133.4,12/1/2007,-1485,56
10/1/2007,6752,Richmond,VA,3.3,189389,0.1,144.9,1/1/2008,-1806,57
11/1/2007,6752,Richmond,VA,3.4,188765,0.1,-190.9,2/1/2008,-1468,58
12/1/2007,6752,Richmond,VA,3.5,188371,0.1,-96.4,3/1/2008,-1619,59
1/1/2008,6752,Richmond,VA,3.6,187583,0.1,-53,4/1/2008,-1001,60
2/1/2008,6752,Richmond,VA,3.6,187297,0,-396.4,5/1/2008,-2207,61
3/1/2008,6752,Richmond,VA,3.7,186752,0.1,49.9,6/1/2008,-3387,62
4/1/2008,6752,Richmond,VA,3.8,186582,0.1,136.2,7/1/2008,-4743,63
5/1/2008,6752,Richmond,VA,3.9,185090,0.1,-16.3,8/1/2008,-4076,64
6/1/2008,6752,Richmond,VA,4,183365,0.1,-228.6,9/1/2008,-2641,65
7/1/2008,6752,Richmond,VA,4.2,181839,0.2,-294.4,10/1/2008,-1258,66
