date,city,statecode,unemployment,housing
2003-01-01,Albuquerque,NM,5.2,148049
2003-02-01,Albuquerque,NM,5.2,148287
2003-03-01,Albuquerque,NM,5.3,148583
2003-04-01,Albuquerque,NM,5.3,148776
2003-05-01,Albuquerque,NM,5.4,149028
2003-06-01,Albuquerque,NM,5.4,149382
2003-07-01,Albuquerque,NM,5.5,149781
2003-08-01,Albuquerque,NM,5.5,150115
2003-09-01,Albuquerque,NM,5.5,150350
2003-10-01,Albuquerque,NM,5.5,150774
2003-11-01,Albuquerque,NM,5.5,151472
2003-12-01,Albuquerque,NM,5.4,152483
2004-01-01,Albuquerque,NM,5.4,153324
2004-02-01,Albuquerque,NM,5.3,154211
2004-03-01,Albuquerque,NM,5.2,154769
2004-04-01,Albuquerque,NM,5.2,155385
2004-05-01,Albuquerque,NM,5.1,155990
2004-06-01,Albuquerque,NM,5.0,156766
2004-07-01,Albuquerque,NM,5.0,157478
2004-08-01,Albuquerque,NM,5.0,158063
2004-09-01,Albuquerque,NM,5.0,158394
2004-10-01,Albuquerque,NM,5.0,158859
2004-11-01,Albuquerque,NM,5.1,159298
2004-12-01,Albuquerque,NM,5.1,159826
2005-01-01,Albuquerque,NM,5.1,160510
2005-02-01,Albuquerque,NM,5.1,161210
2005-03-01,Albuquerque,NM,5.1,162259
2005-04-01,Albuquerque,NM,5.0,163011
2005-05-01,Albuquerque,NM,5.0,163880
2005-06-01,Albuquerque,NM,4.9,164711
2005-07-01,Albuquerque,NM,4.8,166128
2005-08-01,Albuquerque,NM,4.7,167845
2005-09-01,Albuquerque,NM,4.7,170095
2005-10-01,Albuquerque,NM,4.6,172216
2005-11-01,Albuquerque,NM,4.4,174424
2005-12-01,Albuquerque,NM,4.3,176758
2006-01-01,Albuquerque,NM,4.1,179058
2006-02-01,Albuquerque,NM,4.0,181338
2006-03-01,Albuquerque,NM,3.9,183526
2006-04-01,Albuquerque,NM,3.9,186240
2006-05-01,Albuquerque,NM,4.0,189022
2006-06-01,Albuquerque,NM,4.0,191540
2006-07-01,Albuquerque,NM,4.0,193564
2006-08-01,Albuquerque,NM,4.0,195616
2006-09-01,Albuquerque,NM,4.0,197851
2006-10-01,Albuquerque,NM,3.9,200103
2006-11-01,Albuquerque,NM,3.9,201969
2006-12-01,Albuquerque,NM,3.8,203145
2007-01-01,Albuquerque,NM,3.7,204187
2007-02-01,Albuquerque,NM,3.7,205227
2007-03-01,Albuquerque,NM,3.7,206181
2007-04-01,Albuquerque,NM,3.6,207379
2007-05-01,Albuquerque,NM,3.6,208312
2007-06-01,Albuquerque,NM,3.6,209955
2007-07-01,Albuquerque,NM,3.6,211107
2007-08-01,Albuquerque,NM,3.7,212031
2007-09-01,Albuquerque,NM,3.7,211848
2007-10-01,Albuquerque,NM,3.8,211550
2007-11-01,Albuquerque,NM,3.8,211362
2007-12-01,Albuquerque,NM,3.9,211402
2008-01-01,Albuquerque,NM,3.9,211137
2008-02-01,Albuquerque,NM,4.0,210548
2008-03-01,Albuquerque,NM,4.0,209819
2008-04-01,Albuquerque,NM,4.1,208561
2008-05-01,Albuquerque,NM,4.1,207239
2008-06-01,Albuquerque,NM,4.3,205472
2008-07-01,Albuquerque,NM,4.4,204082
2008-08-01,Albuquerque,NM,4.6,202534
2008-09-01,Albuquerque,NM,4.8,201476
2008-10-01,Albuquerque,NM,5.1,199957
2008-11-01,Albuquerque,NM,5.6,198390
2008-12-01,Albuquerque,NM,6.1,196753
2009-01-01,Albuquerque,NM,6.6,195444
2009-02-01,Albuquerque,NM,7.1,194485
2009-03-01,Albuquerque,NM,7.5,193279
2009-04-01,Albuquerque,NM,7.9,192579
2009-05-01,Albuquerque,NM,8.0,191859
2009-06-01,Albuquerque,NM,8.1,191267
2009-07-01,Albuquerque,NM,8.1,190340
2009-08-01,Albuquerque,NM,8.0,189626
2009-09-01,Albuquerque,NM,8.0,189070
2009-10-01,Albuquerque,NM,7.9,189409
2009-11-01,Albuquerque,NM,7.9,189616
2009-12-01,Albuquerque,NM,8.0,189836
2010-01-01,Albuquerque,NM,7.7,189557
2010-02-01,Albuquerque,NM,7.8,189099
2010-03-01,Albuquerque,NM,8.0,188995
2010-04-01,Albuquerque,NM,8.1,188374
2010-05-01,Albuquerque,NM,8.2,187779
2010-06-01,Albuquerque,NM,8.2,186795
2010-07-01,Albuquerque,NM,8.2,186004
2010-08-01,Albuquerque,NM,8.2,185316
2010-09-01,Albuquerque,NM,8.1,184155
2010-10-01,Albuquerque,NM,8.0,182337
2010-11-01,Albuquerque,NM,7.9,180543
2010-12-01,Albuquerque,NM,7.7,179151
2011-01-01,Albuquerque,NM,7.6,178323
2011-02-01,Albuquerque,NM,7.5,177552
2011-03-01,Albuquerque,NM,7.4,176535
2011-04-01,Albuquerque,NM,7.3,175220
2011-05-01,Albuquerque,NM,7.3,174080
2011-06-01,Albuquerque,NM,7.4,173328
2011-07-01,Albuquerque,NM,7.5,172901
2011-08-01,Albuquerque,NM,7.6,171740
2011-09-01,Albuquerque,NM,7.6,170945
2011-10-01,Albuquerque,NM,7.7,170558
2011-11-01,Albuquerque,NM,7.7,170452
2011-12-01,Albuquerque,NM,7.6,170084
2012-01-01,Albuquerque,NM,7.5,169534
2012-02-01,Albuquerque,NM,7.4,169104
2012-03-01,Albuquerque,NM,7.3,168868
2012-04-01,Albuquerque,NM,7.2,169105
2012-05-01,Albuquerque,NM,7.1,169307
2012-06-01,Albuquerque,NM,7.1,169262
2012-07-01,Albuquerque,NM,7.0,169115
2012-08-01,Albuquerque,NM,7.0,169599
2012-09-01,Albuquerque,NM,7.0,170484
2012-10-01,Albuquerque,NM,7.0,170739
2012-11-01,Albuquerque,NM,7.0,170964
2012-12-01,Albuquerque,NM,7.0,170689
2013-01-01,Albuquerque,NM,6.9,170708
2013-02-01,Albuquerque,NM,6.9,170828
2013-03-01,Albuquerque,NM,6.8,171457
2013-04-01,Albuquerque,NM,6.8,172335
2013-05-01,Albuquerque,NM,6.7,173138
2013-06-01,Albuquerque,NM,6.7,174071
2013-07-01,Albuquerque,NM,6.8,174761
2013-08-01,Albuquerque,NM,6.8,175604
2013-09-01,Albuquerque,NM,6.8,175715
2013-10-01,Albuquerque,NM,6.8,176525
2013-11-01,Albuquerque,NM,6.8,176834
2013-12-01,Albuquerque,NM,6.8,178024
2014-01-01,Albuquerque,NM,6.7,178951
2014-02-01,Albuquerque,NM,6.7,179581
2014-03-01,Albuquerque,NM,6.7,179556
2014-04-01,Albuquerque,NM,6.7,179046
2014-05-01,Albuquerque,NM,6.6,178760
2014-06-01,Albuquerque,NM,6.6,178369
2014-07-01,Albuquerque,NM,6.5,178040
2014-08-01,Albuquerque,NM,6.5,177571
2014-09-01,Albuquerque,NM,6.4,177558
2014-10-01,Albuquerque,NM,6.3,177684
2014-11-01,Albuquerque,NM,6.2,178628
2014-12-01,Albuquerque,NM,6.2,178980
2015-01-01,Albuquerque,NM,6.2,179107
2015-02-01,Albuquerque,NM,6.2,178800
2015-03-01,Albuquerque,NM,6.2,178540
