date,region_id,city,statecode,unemployment,housing,deltunemp,detastocks,threem,threed,time,,,,
2/1/2003,23429,Albuquerque,NM,5.2,148287,0,-212,5/1/2003,741,1,1/1/2003,,,
3/1/2003,23429,Albuquerque,NM,5.3,148583,0.1,-87.2,6/1/2003,799,2,,,,
4/1/2003,23429,Albuquerque,NM,5.3,148776,0,249,7/1/2003,1005,3,,,,
5/1/2003,23429,Albuquerque,NM,5.4,149028,0.1,180.4,8/1/2003,1087,4,,,,
6/1/2003,23429,Albuquerque,NM,5.4,149382,0,58.4,9/1/2003,968,5,,,,
7/1/2003,23429,Albuquerque,NM,5.5,149781,0.1,134.2,10/1/2003,993,6,,,,
8/1/2003,23429,Albuquerque,NM,5.5,150115,0,91.7,11/1/2003,1357,7,,,,
9/1/2003,23429,Albuquerque,NM,5.5,150350,0,110.9,12/1/2003,2133,8,,,,
10/1/2003,23429,Albuquerque,NM,5.5,150774,0,70.7,1/1/2004,2550,9,,,,
11/1/2003,23429,Albuquerque,NM,5.5,151472,0,155,2/1/2004,2739,10,,,,
12/1/2003,23429,Albuquerque,NM,5.4,152483,-0.1,135.5,3/1/2004,2286,11,,,,
1/1/2004,23429,Albuquerque,NM,5.4,153324,0,-14,4/1/2004,2061,12,,,,
2/1/2004,23429,Albuquerque,NM,5.3,154211,-0.1,20.8,5/1/2004,1779,13,,,,
3/1/2004,23429,Albuquerque,NM,5.2,154769,-0.1,-11.4,6/1/2004,1997,14,,,,
4/1/2004,23429,Albuquerque,NM,5.2,155385,0,-64.6,7/1/2004,2093,15,,,,
5/1/2004,23429,Albuquerque,NM,5.1,155990,-0.1,12.4,8/1/2004,2073,16,,,,
6/1/2004,23429,Albuquerque,NM,5,156766,-0.1,60.6,9/1/2004,1628,17,,,,
7/1/2004,23429,Albuquerque,NM,5,157478,0,-103.4,10/1/2004,1381,18,,,,
8/1/2004,23429,Albuquerque,NM,5,158063,0,-70.5,11/1/2004,1235,19,,,,
9/1/2004,23429,Albuquerque,NM,5,158394,0,18.2,12/1/2004,1432,20,,,,
10/1/2004,23429,Albuquerque,NM,5,158859,0,160.6,1/1/2005,1651,21,,,,
11/1/2004,23429,Albuquerque,NM,5.1,159298,0.1,183.8,2/1/2005,1912,22,,,,
12/1/2004,23429,Albuquerque,NM,5.1,159826,0,-12,3/1/2005,2433,23,,,,
1/1/2005,23429,Albuquerque,NM,5.1,160510,0,9.3,4/1/2005,2501,24,,,,
2/1/2005,23429,Albuquerque,NM,5.1,161210,0,-28.9,5/1/2005,2670,25,,,,
3/1/2005,23429,Albuquerque,NM,5.1,162259,0,-94.3,6/1/2005,2452,26,,,,
4/1/2005,23429,Albuquerque,NM,5,163011,-0.1,-140.5,7/1/2005,3117,27,,,,
5/1/2005,23429,Albuquerque,NM,5,163880,0,-2.6,8/1/2005,3965,28,,,,
6/1/2005,23429,Albuquerque,NM,4.9,164711,-0.1,75.9,9/1/2005,5384,29,,,,
7/1/2005,23429,Albuquerque,NM,4.8,166128,-0.1,126.1,10/1/2005,6088,30,,,,
8/1/2005,23429,Albuquerque,NM,4.7,167845,-0.1,-11.7,11/1/2005,6579,31,,,,
9/1/2005,23429,Albuquerque,NM,4.7,170095,0,16,12/1/2005,6663,32,,,,
10/1/2005,23429,Albuquerque,NM,4.6,172216,-0.1,43.1,1/1/2006,6842,33,,,,
11/1/2005,23429,Albuquerque,NM,4.4,174424,-0.2,31.6,2/1/2006,6914,34,,,,
12/1/2005,23429,Albuquerque,NM,4.3,176758,-0.1,21.2,3/1/2006,6768,35,,,,
1/1/2006,23429,Albuquerque,NM,4.1,179058,-0.2,47.1,4/1/2006,7182,36,,,,
2/1/2006,23429,Albuquerque,NM,4,181338,-0.1,70.1,5/1/2006,7684,37,,,,
3/1/2006,23429,Albuquerque,NM,3.9,183526,-0.1,44.7,6/1/2006,8014,38,,,,
4/1/2006,23429,Albuquerque,NM,3.9,186240,0,20.9,7/1/2006,7324,39,,,,
5/1/2006,23429,Albuquerque,NM,4,189022,0.1,-12.8,8/1/2006,6594,40,,,,
