date,region_id,city,statecode,unemployment,housing,deltaunemp,deltastocks,threem,threed,time
2/1/2003,11093,Denver,CO,6.2,258300,6.2,-212,5/1/2003,-1346,1
3/1/2003,11093,Denver,CO,6.2,258219,0,-87.2,6/1/2003,-1339,2
4/1/2003,11093,Denver,CO,6.3,257439,0.1,249,7/1/2003,133,3
5/1/2003,11093,Denver,CO,6.4,256954,0.1,180.4,8/1/2003,883,4
6/1/2003,11093,Denver,CO,6.4,256880,0,58.4,9/1/2003,1767,5
7/1/2003,11093,Denver,CO,6.4,257572,0,134.2,10/1/2003,1701,6
8/1/2003,11093,Denver,CO,6.4,257837,0,91.7,11/1/2003,2528,7
9/1/2003,11093,Denver,CO,6.3,258647,-0.1,110.9,12/1/2003,2215,8
10/1/2003,11093,Denver,CO,6.3,259273,0,70.7,1/1/2004,1739,9
11/1/2003,11093,Denver,CO,6.2,260365,-0.1,155,2/1/2004,845,10
12/1/2003,11093,Denver,CO,6.2,260862,0,135.5,3/1/2004,1057,11
1/1/2004,11093,Denver,CO,6.1,261012,-0.1,-14,4/1/2004,2345,12
2/1/2004,11093,Denver,CO,6,261210,-0.1,20.8,5/1/2004,3265,13
3/1/2004,11093,Denver,CO,6,261919,0,-11.4,6/1/2004,3168,14
4/1/2004,11093,Denver,CO,5.9,263357,-0.1,-64.6,7/1/2004,1742,15
5/1/2004,11093,Denver,CO,5.8,264475,-0.1,12.4,8/1/2004,911,16
6/1/2004,11093,Denver,CO,5.7,265087,-0.1,60.6,9/1/2004,70,17
7/1/2004,11093,Denver,CO,5.6,265099,-0.1,-103.4,10/1/2004,770,18
8/1/2004,11093,Denver,CO,5.6,265386,0,-70.5,11/1/2004,845,19
9/1/2004,11093,Denver,CO,5.5,265157,-0.1,18.2,12/1/2004,2691,20
10/1/2004,11093,Denver,CO,5.5,265869,0,160.6,1/1/2005,3222,21
11/1/2004,11093,Denver,CO,5.5,266231,0,183.8,2/1/2005,4655,22
12/1/2004,11093,Denver,CO,5.5,267848,0,-12,3/1/2005,3259,23
1/1/2005,11093,Denver,CO,5.4,269091,-0.1,9.3,4/1/2005,1914,24
2/1/2005,11093,Denver,CO,5.4,270886,0,-28.9,5/1/2005,-72,25
3/1/2005,11093,Denver,CO,5.4,271107,0,-94.3,6/1/2005,764,26
4/1/2005,11093,Denver,CO,5.3,271005,-0.1,-140.5,7/1/2005,1709,27
