date,city,statecode,dow,sp500,nasdaq,unemployment,housing,3month,6month,9month,1year
4/1/2003,Albuquerque,NM,8480.09,916.92,1348.3,5.3,148776,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Anchorage,AK,8480.09,916.92,1348.3,6.8,214314,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Atlanta,GA,8480.09,916.92,1348.3,5.1,210555,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Augusta,GA,8480.09,916.92,1348.3,5.3,0,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Austin,TX,8480.09,916.92,1348.3,6.2,213330,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Bakersfield,CA,8480.09,916.92,1348.3,10.2,166757,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Baltimore,MD,8480.09,916.92,1348.3,4.8,96075,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Baton Rouge,LA,8480.09,916.92,1348.3,6.6,140326,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Beaumont,TX,8480.09,916.92,1348.3,8.9,67195,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Birmingham,AL,8480.09,916.92,1348.3,5.1,66380,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Boston,MA,8480.09,916.92,1348.3,5.6,354352,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Brownsville,TX,8480.09,916.92,1348.3,9.6,77270,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Buffalo,NY,8480.09,916.92,1348.3,5.7,48105,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Charleston,SC,8480.09,916.92,1348.3,5.4,197548,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Charlotte,NC,8480.09,916.92,1348.3,6.4,167948,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Chattanooga,TN,8480.09,916.92,1348.3,4.4,108430,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Chicago,IL,8480.09,916.92,1348.3,6.7,199724,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Cincinnati,OH,8480.09,916.92,1348.3,5.5,133449,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Cleveland,OH,8480.09,916.92,1348.3,5.6,87590,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Colorado Springs,CO,8480.09,916.92,1348.3,6.1,195548,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Columbia,SC,8480.09,916.92,1348.3,5.8,122875,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Corpus Christi,TX,8480.09,916.92,1348.3,6.8,93074,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Dayton,OH,8480.09,916.92,1348.3,6.7,48623,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Denver,CO,8480.09,916.92,1348.3,6.3,257439,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Des Moines,IA,8480.09,916.92,1348.3,4.1,104671,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Detroit,MI,8480.09,916.92,1348.3,7.4,0,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,El Paso,TX,8480.09,916.92,1348.3,8.8,90694,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Fayetteville,AR,8480.09,916.92,1348.3,3.8,134149,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Flint,MI,8480.09,916.92,1348.3,8.2,0,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Fort Wayne,IN,8480.09,916.92,1348.3,5.1,97140,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Fresno,CA,8480.09,916.92,1348.3,12,156593,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Grand Rapids,MI,8480.09,916.92,1348.3,6.9,106203,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Greensboro,NC,8480.09,916.92,1348.3,6.5,133052,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Greenville,SC,8480.09,916.92,1348.3,6.4,128779,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Harrisburg,PA,8480.09,916.92,1348.3,4.7,60173,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Hartford,CT,8480.09,916.92,1348.3,5.8,141965,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Houston,TX,8480.09,916.92,1348.3,6.8,117558,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Huntsville,AL,8480.09,916.92,1348.3,4.8,0,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Indianapolis,IN,8480.09,916.92,1348.3,4.7,93432,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Jackson,MS,8480.09,916.92,1348.3,5.5,0,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Jacksonville,FL,8480.09,916.92,1348.3,5.2,127301,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Kansas City,MO,8480.09,916.92,1348.3,6,116726,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Killeen,TX,8480.09,916.92,1348.3,6.5,0,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Knoxville,TN,8480.09,916.92,1348.3,4.5,127789,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Lafayette,LA,8480.09,916.92,1348.3,5.9,139466,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Lakeland,FL,8480.09,916.92,1348.3,5.8,107066,1/1/2003,10/1/2002,7/1/2002,4/1/2002
4/1/2003,Lansing,MI,8480.09,916.92,1348.3,5.2,92525,1/1/2003,10/1/2002,7/1/2002,4/1/2002
