Stock,Date,Adj Close
SP500,1927-12-01,17.66
SP500,1928-01-01,17.57
SP500,1928-02-01,17.26
SP500,1928-03-01,19.280001000000002
SP500,1928-04-01,19.75
SP500,1928-05-01,20.0
SP500,1928-06-01,19.139999
SP500,1928-07-01,19.43
SP500,1928-08-01,20.870001000000002
SP500,1928-09-01,21.139999
SP500,1928-10-01,21.68
SP500,1928-11-01,24.280001000000002
SP500,1928-12-01,24.35
SP500,1929-01-01,25.74
SP500,1929-02-01,25.59
SP500,1929-03-01,25.530001000000002
SP500,1929-04-01,25.940001000000002
SP500,1929-05-01,24.83
SP500,1929-06-01,27.41
SP500,1929-07-01,28.879998999999998
SP500,1929-08-01,31.709999
SP500,1929-09-01,30.16
SP500,1929-10-01,24.15
SP500,1929-11-01,20.92
SP500,1929-12-01,21.450001
SP500,1930-01-01,22.790001
SP500,1930-02-01,23.280001000000002
SP500,1930-03-01,24.15
SP500,1930-04-01,24.9
SP500,1930-05-01,24.49
SP500,1930-06-01,20.459999
SP500,1930-07-01,21.209999
SP500,1930-08-01,21.370001000000002
SP500,1930-09-01,18.59
SP500,1930-10-01,16.940001000000002
SP500,1930-11-01,16.379998999999998
SP500,1930-12-01,15.34
SP500,1931-01-01,16.190001000000002
SP500,1931-02-01,18.030001000000002
SP500,1931-03-01,16.690001000000002
SP500,1931-04-01,15.09
SP500,1931-05-01,13.02
SP500,1931-06-01,14.83
SP500,1931-07-01,13.73
SP500,1931-08-01,13.86
SP500,1931-09-01,9.71
SP500,1931-10-01,10.43
SP500,1931-11-01,9.5
SP500,1931-12-01,8.12
SP500,1932-01-01,7.94
SP500,1932-02-01,8.29
SP500,1932-03-01,7.31
SP500,1932-04-01,5.83
SP500,1932-05-01,4.47
SP500,1932-06-01,4.43
SP500,1932-07-01,6.03
SP500,1932-08-01,8.39
SP500,1932-09-01,8.08
SP500,1932-10-01,6.96
SP500,1932-11-01,6.55
SP500,1932-12-01,6.92
SP500,1933-01-01,6.94
SP500,1933-02-01,5.66
SP500,1933-03-01,5.85
SP500,1933-04-01,7.83
SP500,1933-05-01,9.64
SP500,1933-06-01,10.91
SP500,1933-07-01,9.95
SP500,1933-08-01,11.09
SP500,1933-09-01,9.72
SP500,1933-10-01,8.96
SP500,1933-11-01,9.88
SP500,1933-12-01,9.97
SP500,1934-01-01,11.17
SP500,1934-02-01,10.76
SP500,1934-03-01,10.62
SP500,1934-04-01,10.46
SP500,1934-05-01,9.61
SP500,1934-06-01,9.81
SP500,1934-07-01,8.68
SP500,1934-08-01,9.15
SP500,1934-09-01,9.08
SP500,1934-10-01,8.81
SP500,1934-11-01,9.54
SP500,1934-12-01,9.5
SP500,1935-01-01,9.1
SP500,1935-02-01,8.74
SP500,1935-03-01,8.45
SP500,1935-04-01,9.28
SP500,1935-05-01,9.58
SP500,1935-06-01,10.24
SP500,1935-07-01,11.08
SP500,1935-08-01,11.24
SP500,1935-09-01,11.59
SP500,1935-10-01,12.46
SP500,1935-11-01,12.94
SP500,1935-12-01,13.43
SP500,1936-01-01,14.31
SP500,1936-02-01,14.6
SP500,1936-03-01,14.92
SP500,1936-04-01,13.77
SP500,1936-05-01,14.4
SP500,1936-06-01,14.84
SP500,1936-07-01,15.85
SP500,1936-08-01,15.99
SP500,1936-09-01,16.01
SP500,1936-10-01,17.23
SP500,1936-11-01,17.280001000000002
SP500,1936-12-01,17.18
SP500,1937-01-01,17.77
SP500,1937-02-01,18.059998999999998
SP500,1937-03-01,17.92
SP500,1937-04-01,16.43
SP500,1937-05-01,16.26
SP500,1937-06-01,15.4
SP500,1937-07-01,16.77
SP500,1937-08-01,16.040001
SP500,1937-09-01,13.76
SP500,1937-10-01,12.35
SP500,1937-11-01,11.11
SP500,1937-12-01,10.55
SP500,1938-01-01,10.69
SP500,1938-02-01,11.34
SP500,1938-03-01,8.5
SP500,1938-04-01,9.78
SP500,1938-05-01,9.27
SP500,1938-06-01,11.56
SP500,1938-07-01,12.33
SP500,1938-08-01,12.06
SP500,1938-09-01,12.24
SP500,1938-10-01,13.17
SP500,1938-11-01,12.73
SP500,1938-12-01,13.14
SP500,1939-01-01,12.3
SP500,1939-02-01,12.7
SP500,1939-03-01,10.98
SP500,1939-04-01,10.93
SP500,1939-05-01,11.6
SP500,1939-06-01,10.86
SP500,1939-07-01,12.04
SP500,1939-08-01,11.18
SP500,1939-09-01,12.79
SP500,1939-10-01,12.83
SP500,1939-11-01,12.2
SP500,1939-12-01,12.46
SP500,1940-01-01,12.05
SP500,1940-02-01,12.13
SP500,1940-03-01,12.18
SP500,1940-04-01,12.19
