date,dow,nasdaq,sp500
1985-02-01,1284.01,278.4,181.18
1985-03-01,1266.78,287.2,180.66
1985-04-01,1258.06,280.3,179.83
1985-05-01,1315.41,279.6,189.55
1985-07-01,1347.45,296.5,190.92
1985-08-01,1334.01,304,188.63
1985-10-01,1374.31,281.8,189.82
1985-11-01,1472.13,294.1,202.17
1986-04-01,1783.98,374.2,235.52
1986-05-01,1876.71,381.7,247.35
1986-07-01,1775.31,407.6,236.12
1986-08-01,1898.34,370.7,252.93
1986-10-01,1877.71,352.3,243.98
1986-12-01,1895.95,357.9,242.17
1987-04-01,2286.36,428.3,288.36
1987-05-01,2291.57,418.4,290.1
1987-06-01,2418.53,415,304
1987-07-01,2572.07,424.5,318.66
1987-09-01,2596.28,452.5,321.83
1987-10-01,1993.53,448.5,251.79
1987-12-01,1938.83,305.2,247.08
1988-02-01,2071.62,346.2,267.82
1988-03-01,1988.06,367.3,258.89
1988-06-01,2141.71,374.8,273.5
1988-07-01,2128.73,394.7,272.02
1988-08-01,2031.65,388,261.52
1988-09-01,2112.91,373,271.91
1988-11-01,2114.51,382.4,273.7
1988-12-01,2168.57,373.9,277.72
1989-02-01,2258.39,403.2,288.86
1989-03-01,2293.62,399.8,294.87
1989-05-01,2480.15,427.5,320.52
1989-06-01,2440.06,448.3,317.98
1989-08-01,2737.27,453.3,351.45
1989-09-01,2692.82,471.3,349.15
1989-11-01,2706.27,456.6,345.99
1989-12-01,2753.2,457.1,353.4
1990-02-01,2627.25,417.8,331.89
1990-03-01,2707.21,427.2,339.94
1990-05-01,2876.66,421.9,361.23
1990-06-01,2880.69,462.1,358.02
1990-08-01,2614.36,435.9,322.56
1990-10-01,2442.33,354.7,304
1990-11-01,2559.65,330.6,322.22
1991-02-01,2882.18,417.7,367.07
1991-03-01,2913.86,456.7,375.22
1991-04-01,2887.87,480.86,375.34
1991-05-01,3027.5,487.85,389.83
1991-07-01,3024.82,481.31,387.81
1991-08-01,3043.6,504.15,395.43
1991-10-01,3069.1,528.51,392.45
1991-11-01,2894.68,540.93,375.22
1992-04-01,3359.1,602.09,414.95
1992-05-01,3396.9,578.14,415.35
1992-06-01,3318.5,588.37,408.14
1992-07-01,3393.8,568.99,424.21
1992-09-01,3271.7,565.61,417.8
1992-10-01,3226.3,578.33,418.68
1992-12-01,3301.11,653.95,435.71
1993-02-01,3370.81,701.77,443.38
1993-03-01,3435.11,669.51,451.67
1993-04-01,3427.55,686.64,440.19
1993-06-01,3516.08,704.28,450.53
1993-07-01,3539.47,703.59,448.13
1993-09-01,3555.12,746.15,458.93
1993-10-01,3680.59,763.23,467.83
1993-11-01,3683.95,783.77,461.79
1993-12-01,3754.09,763.81,466.45
1994-02-01,3832.02,797.24,467.14
1994-03-01,3635.96,788.64,445.77
1994-06-01,3624.96,735.52,444.27
1994-07-01,3764.5,706.85,458.26
1994-08-01,3913.42,724.85,475.49
1994-09-01,3843.19,758.95,462.71
1994-11-01,3739.23,772.19,453.69
1994-12-01,3834.44,740.61,459.27
1995-02-01,4011.05,758.31,487.39
1995-03-01,4157.69,791.87,500.71
1995-05-01,4465.14,841.63,533.4
1995-06-01,4556.1,868.82,544.75
1995-08-01,4610.56,991.11,561.88
1995-09-01,4789.08,1019.47,584.41
1995-11-01,5074.49,1040.5,605.37
1995-12-01,5117.12,1055.31,615.93
1996-02-01,5485.62,1069.46,640.43
1996-03-01,5587.14,1086.08,645.5
1996-04-01,5569.08,1106.57,654.17
1996-05-01,5643.18,1199.66,669.12
1996-07-01,5528.91,1197.45,639.95
1996-08-01,5616.21,1098.85,651.99
1996-10-01,6029.38,1221.51,705.27
1996-11-01,6521.7,1221.78,757.02
1997-04-01,7009,1216.93,801.34
1997-05-01,7331,1270.5,848.28
1997-07-01,8222.6,1438.25,954.31
1997-08-01,7622.4,1594.33,899.47
1997-10-01,7442.1,1690.3,914.62
1997-12-01,7908.3,1630.72,970.43
1998-04-01,9063.37,1847.66,1111.75
1998-05-01,8899.95,1873.44,1090.82
1998-06-01,8952.02,1746.82,1133.84
1998-07-01,8883.29,1914.46,1120.67
1998-09-01,7842.62,1575.09,1017.01
1998-10-01,8592.1,1612.33,1098.67
1998-12-01,9181.43,2003.75,1229.23
1999-02-01,9306.58,2510.09,1238.33
1999-03-01,9786.16,2295.18,1286.37
1999-04-01,10789,2493.37,1335.18
1999-06-01,10970.8,2412.03,1372.71
1999-07-01,10655.2,2706.18,1328.72
1999-09-01,10337,2750.8,1282.71
1999-10-01,10729.9,2736.85,1362.93
1999-11-01,10877.8,2967.65,1388.91
1999-12-01,11497.1,3353.71,1469.25
2000-02-01,10128.3,4051.98,1366.42
2000-03-01,10921.9,4784.08,1498.58
2000-05-01,10522.3,3958.08,1420.6
2000-06-01,10447.9,3582.5,1454.6
2000-08-01,11215.1,3685.52,1517.68
2000-09-01,10650.9,4234.33,1436.51
2000-11-01,10414.5,3333.39,1314.95
2000-12-01,10788,2645.29,1320.28
2001-02-01,10495.3,2782.79,1239.94
2001-03-01,9878.78,2183.37,1160.33
2001-05-01,10911.9,2168.24,1255.82
2001-06-01,10502.4,2149.44,1224.38
2001-08-01,9949.75,2068.38,1133.58
2001-10-01,9075.14,1480.46,1059.78
2001-11-01,9851.56,1746.3,1139.45
2002-02-01,10106.1,1911.24,1106.73
2002-03-01,10403.9,1802.74,1147.39
2002-04-01,9946.22,1862.62,1076.92
2002-05-01,9925.25,1677.53,1067.14
2002-07-01,8736.59,1403.8,911.62
2002-08-01,8663.5,1280,916.07
2002-10-01,8397.03,1213.72,885.76
2002-11-01,8896.09,1360.7,936.31
2003-04-01,8480.09,1348.3,916.92
2003-05-01,8850.26,1472.56,963.59
2003-07-01,9233.8,1640.13,990.31
2003-08-01,9415.82,1715.62,1008.01
2003-10-01,9801.12,1832.25,1050.71
2003-12-01,10453.9,1989.82,1111.92
2004-03-01,10357.7,2057.8,1126.21
2004-04-01,10225.6,2015.01,1107.3
2004-06-01,10435.5,1990.77,1140.84
2004-07-01,10139.7,2015.55,1101.72
2004-09-01,10080.3,1850.41,1114.58
2004-10-01,10027.5,1942.2,1130.2
2004-11-01,10428,1979.87,1173.82
2004-12-01,10783,2138.23,1211.92
2005-02-01,10766.2,2068.7,1203.6
2005-03-01,10503.8,2071.25,1180.59
2005-04-01,10192.5,1984.81,1156.85
2005-06-01,10275,2087.86,1191.33
2005-07-01,10640.9,2057.37,1234.18
2005-08-01,10481.6,2195.38,1220.33
2005-09-01,10568.7,2147.9,1228.81
2005-11-01,10805.9,2114.05,1249.48
2005-12-01,10717.5,2267.17,1248.29
2006-02-01,10993.4,2310.56,1280.66
2006-03-01,11109.3,2314.64,1294.87
2006-05-01,11168.3,2304.79,1270.09
2006-06-01,11150.2,2219.86,1270.2
2006-08-01,11381.2,2061.99,1303.82
2006-09-01,11679.1,2193.16,1335.85
2006-11-01,12221.9,2334.35,1400.63
2006-12-01,12463.2,2413.21,1418.3
2007-02-01,12268.6,2468.38,1406.82
2007-03-01,12354.3,2404.21,1420.86
2007-05-01,13627.6,2531.53,1530.62
2007-06-01,13408.6,2613.92,1503.35
2007-08-01,13357.7,2553.87,1473.99
2007-10-01,13930,2740.99,1549.38
2007-11-01,13371.7,2794.83,1481.14
2008-02-01,12266.4,2413.36,1330.63
2008-04-01,12820.1,2362.75,1385.59
2008-05-01,12638.3,2480.71,1400.38
2008-07-01,11378,2304.97,1267.38
2008-08-01,11544,2310.96,1282.83
2008-10-01,9325.01,2069.4,968.75
2008-12-01,8776.39,1398.07,903.25
2009-04-01,8168.12,1551.6,872.81
2009-05-01,8500.33,1719.2,919.14
2009-06-01,8447,1828.68,919.32
2009-07-01,9171.61,1845.72,987.48
2009-09-01,9712.28,1968.89,1057.08
2009-10-01,9712.73,2057.48,1036.19
2009-12-01,10428,2175.81,1115.1
2010-02-01,10325.3,2171.2,1104.49
2010-03-01,10856.6,2273.57,1169.43
2010-04-01,11008.6,2402.58,1186.69
2010-06-01,9774.02,2222.33,1030.71
2010-07-01,10465.9,2101.36,1101.6
2010-09-01,10788,2176.84,1141.2
2010-10-01,11118.5,2370.75,1183.26
2010-11-01,11006,2504.84,1180.55
2010-12-01,11577.5,2549.43,1257.64
2011-02-01,12226.3,2751.19,1327.22
2011-03-01,12319.7,2737.41,1325.83
2011-04-01,12810.5,2789.6,1363.61
2011-06-01,12414.3,2769.19,1320.64
2011-07-01,12143.2,2816.03,1292.28
2011-08-01,11613.5,2744.61,1218.89
2011-09-01,10913.4,2546.04,1131.42
2011-11-01,12045.7,2606.96,1246.96
2011-12-01,12217.6,2626.2,1257.6
2012-02-01,12952.1,2848.27,1365.68
2012-03-01,13212,2988.97,1408.47
2012-05-01,12393.5,3050.44,1310.33
2012-06-01,12880.1,2747.48,1362.16
2012-08-01,13090.8,2920.21,1406.58
2012-10-01,13096.5,3113.53,1412.16
2012-11-01,13025.6,3020.06,1416.18
2013-02-01,14054.5,3179.1,1514.68
