date,unemployment_rate,statecode,city
2003-01-01,5.7,AL,Anniston
2003-01-01,4.4,AL,Auburn
2003-01-01,5,AL,Birmingham
2003-01-01,4.9,AL,Daphne
2003-01-01,6.1,AL,Decatur
2003-01-01,4.7,AL,Dothan
2003-01-01,7.6,AL,Florence
2003-01-01,6.2,AL,Gadsden
2003-01-01,4.6,AL,Huntsville
2003-01-01,6.5,AL,Mobile
2003-01-01,5.4,AL,Montgomery
2003-01-01,5.1,AL,Tuscaloosa
2003-01-01,6.6,AK,Anchorage
2003-01-01,7,AK,Fairbanks
2003-01-01,5.6,AZ,Flagstaff
2003-01-01,5.2,AZ,Lake Havasu City
2003-01-01,5.6,AZ,Phoenix
2003-01-01,5.3,AZ,Prescott
2003-01-01,5.9,AZ,Sierra Vista
2003-01-01,5.6,AZ,Tucson
2003-01-01,17.2,AZ,Yuma
2003-01-01,3.5,AR,Fayetteville
2003-01-01,5.3,AR,Fort Smith
2003-01-01,6.1,AR,Hot Springs
2003-01-01,5.6,AR,Jonesboro
2003-01-01,5,AR,Little Rock
2003-01-01,7.8,AR,Pine Bluff
2003-01-01,10.2,CA,Bakersfield
2003-01-01,7.6,CA,Chico
2003-01-01,14.9,CA,El Centro
2003-01-01,12.2,CA,Fresno
2003-01-01,12.3,CA,Hanford
2003-01-01,6.2,CA,Los Angeles
2003-01-01,10.9,CA,Madera
2003-01-01,11.5,CA,Merced
2003-01-01,10,CA,Modesto
2003-01-01,4.8,CA,Napa
2003-01-01,5.9,CA,Oxnard
2003-01-01,7.2,CA,Redding
2003-01-01,6.4,CA,Riverside
2003-01-01,5.7,CA,Sacramento
2003-01-01,8.9,CA,Salinas
2003-01-01,5.3,CA,San Diego
2003-01-01,6.4,CA,San Francisco
2003-01-01,8.8,CA,San Jose
2003-01-01,4.8,CA,San Luis Obispo
2003-01-01,7.9,CA,Santa Cruz
2003-01-01,5.2,CA,Santa Maria
2003-01-01,5.4,CA,Santa Rosa
2003-01-01,9.1,CA,Stockton
2003-01-01,6.2,CA,Vallejo
2003-01-01,12.4,CA,Visalia
2003-01-01,10.9,CA,Yuba City
2003-01-01,5.7,CO,Boulder
2003-01-01,6.1,CO,Colorado Springs
2003-01-01,6.1,CO,Denver
2003-01-01,4.9,CO,Fort Collins
2003-01-01,5.1,CO,Grand Junction
2003-01-01,5.5,CO,Greeley
2003-01-01,7.2,CO,Pueblo
2003-01-01,5,CT,Bridgeport
2003-01-01,4,CT,Danbury
2003-01-01,5.7,CT,Hartford
2003-01-01,5.2,CT,New Haven
2003-01-01,4.7,CT,Norwich
2003-01-01,6.8,CT,Waterbury
2003-01-01,4.2,DE,Dover
2003-01-01,4.6,MD,Salisbury
2003-01-01,3.9,DC,Washington
2003-01-01,4.9,FL,Cape Coral
2003-01-01,4.1,FL,Crestview
2003-01-01,5.4,FL,Deltona
2003-01-01,3.9,FL,Gainesville
2003-01-01,6.5,FL,Homosassa Springs
2003-01-01,5.2,FL,Jacksonville
2003-01-01,5.7,FL,Lakeland
