id,cityrank,city,state,averagesalary,mediahousingcost,medianrent,unemploymentrate,state_rate,local_tax_low,local_tax_high,safe_rank_25,fast_growing_25,retirerank
1,1,Austin,Texas,51840,291533,1155,2.6,6.25,0,2,23,6,11
2,2,Denver,Colorado,57400,393842,1203,2.4,2.9,0,8.3,,24,48
3,3,Colorado Springs,Colorado,50050,286700,1070,3,2.9,0,8.3,,,30
4,4,Fayetteville,Arkansas,45830,177942,778,2.5,6.5,0,5.5,20,15,85
5,5,Des Moines,Iowa,50600,178942,857,2.6,6,0,2,,,46
6,6,Minneapolis,Minnesota,56030,237367,1001,3,6.875,0,2,,,90
7,7,San Francisco,California,69700,768517,1673,2.5,7.25,0,3.25,,,94
8,8,Portland,Oregon,55330,375425,1118,3.5,0,0,0,19,,20
9,9,Seattle,Washington,63120,442333,1297,3.2,6.5,0.5,4,25,25,55
10,10,Raleigh,North Carolina,53788,249294,991,3.2,4.75,2,3,,18,28
11,11,Huntsville,Alabama,53600,167300,779,2.3,4,0,9,,,80
12,12,Madison,Wisconsin,52190,247967,958,2.6,5,0,1.75,11,,43
13,13,Grand Rapids,Michigan,44770,181533,826,3.1,6,0,0,17,,9
14,14,San Jose,California,77180,1080017,1940,2.4,7.25,0,3.25,21,,120
15,15,Nashville,Tennessee,47110,248883,951,2.6,7,1.5,2.75,,16,8
16,16,Ashville,North Carolina,41210,248500,849,3,4.75,2,3,,21,4
17,17,Boise,Idaho,43880,221475,879,2.6,6,0,3,4,12,70
18,18,Sarasota,Florida,42680,237260,1089,3.3,6,0,2.5,,3,2
19,19,Washington,District of Columbia,69210,376767,1600,2.9,6,0,0,,,34
20,20,Charlotte,North Carolina,50150,213983,935,3.4,4.75,2,3,,14,32
21,21,Dallas,Texas,51250,248375,1022,3.1,6.25,0,2,,23,10
22,22,Greenville,South Carolina,43230,172067,787,2.2,6,0,3,,,26
23,23,Portland,Maine,48970,223367,975,2.4,5.5,0,0,1,,36
24,24,Salt Lake City,Utah,47272,324198,963,2.3,4.85,1,7.5,,,95
