metro_area,year,month,unemployment_rate
61779,"Anniston-Oxford-Jacksonville, AL MSA",2003,01,5.7
61780,"Auburn-Opelika, AL MSA",2003,01,4.4
61781,"Birmingham-Hoover, AL MSA",2003,01,5.0
61782,"Daphne-Fairhope-Foley, AL MSA",2003,01,4.9
61783,"Decatur, AL MSA",2003,01,6.1
61784,"Dothan, AL MSA",2003,01,4.7
61785,"Florence-Muscle Shoals, AL MSA",2003,01,7.6
61786,"Gadsden, AL MSA",2003,01,6.2
61787,"Huntsville, AL MSA",2003,01,4.6
61788,"Mobile, AL MSA",2003,01,6.5
61789,"Montgomery, AL MSA",2003,01,5.4
61790,"Tuscaloosa, AL MSA",2003,01,5.1
61791,"Anchorage, AK MSA",2003,01,6.6
61792,"Fairbanks, AK MSA",2003,01,7.0
61793,"Flagstaff, AZ MSA",2003,01,5.6
61794,"Lake Havasu City-Kingman, AZ MSA",2003,01,5.2
61795,"Phoenix-Mesa-Scottsdale, AZ MSA",2003,01,5.6
61796,"Prescott, AZ MSA",2003,01,5.3
61797,"Sierra Vista-Douglas, AZ MSA",2003,01,5.9
61798,"Tucson, AZ MSA",2003,01,5.6
61799,"Yuma, AZ MSA",2003,01,17.2
61800,"Fayetteville-Springdale-Rogers, AR-MO MSA",2003,01,3.5
61801,"Fort Smith, AR-OK MSA",2003,01,5.3
61802,"Hot Springs, AR MSA",2003,01,6.1
61803,"Jonesboro, AR MSA",2003,01,5.6
61804,"Little Rock-North Little Rock-Conway, AR MSA",2003,01,5.0
61805,"Pine Bluff, AR MSA",2003,01,7.8
61806,"Bakersfield, CA MSA",2003,01,10.2
61807,"Chico, CA MSA",2003,01,7.6
61808,"El Centro, CA MSA",2003,01,14.9
61809,"Fresno, CA MSA",2003,01,12.2
61810,"Hanford-Corcoran, CA MSA",2003,01,12.3
61811,"Los Angeles-Long Beach-Anaheim, CA MSA",2003,01,6.2
61812,"Madera, CA MSA",2003,01,10.9
61813,"Merced, CA MSA",2003,01,11.5
61814,"Modesto, CA MSA",2003,01,10.0
61815,"Napa, CA MSA",2003,01,4.8
61816,"Oxnard-Thousand Oaks-Ventura, CA MSA",2003,01,5.9
